INFO:root:['Recarm', 'Mind Charge', 'Sukukaja', 'Wind Amp']
INFO:root:['Megido', 'Recarm', 'Rakukaja', 'Dekunda']
INFO:root:['Masukunda', 'Recarm', 'Patra', 'Diarama']
INFO:root:['Rakukaja', 'Recarm', 'Patra', 'Diarama']
INFO:root:['Recarm', 'Masukunda', 'Diarama', 'Zio']
INFO:root:['Panta Rhei', 'Patra', 'Sukukaja', 'Diarahan']
INFO:root:['Diarahan', 'Rakukaja', 'Diarama', 'Patra']
INFO:root:['Growth 3', 'Dekunda', 'Masukunda', 'Rakukaja']
INFO:root:['Diarahan', 'Masukunda', 'Mazionga', 'Rakukaja']
INFO:root:['Diarama', 'Diarahan', 'Rakukaja', 'Patra']
INFO:root:['Patra', 'Recarm', 'Diarama', 'Diarahan']
INFO:root:['Patra', 'Rakukaja', 'Wind Boost', 'Dekunda']
INFO:root:['Patra', 'Tarukaja', 'Dekunda', 'Diarahan']
INFO:root:['Rakukaja', 'Zio', 'Mind Charge', 'Tarukaja']
INFO:root:['Diarama', 'Megido', 'Mind Charge', 'Sukukaja']
INFO:root:['Patra', 'Rakukaja', 'Diarama', 'Tarukaja']
INFO:root:['Diarahan', 'Mind Charge', 'Recarm', 'Patra']
INFO:root:['Patra', 'Diarahan', 'Mind Charge', 'Recarm']
INFO:root:['Tarukaja', 'Patra', 'Rakukaja', 'Zio']
INFO:root:['Masukunda', 'Mind Charge', 'Recarm', 'Patra']
INFO:root:['Patra', 'Mazionga', 'Recarm', 'Rakukaja']
INFO:root:['Patra', 'Recarm', 'Sukukaja', 'Rakukaja']
INFO:root:['Wind Amp', 'Diarama', 'Patra', 'Dekunda']
INFO:root:['Diarama', 'Recarm', 'Diarahan', 'Null Dark']
INFO:root:['Patra', 'Recarm', 'Zio', 'Masukunda']
INFO:root:['Rakukaja', 'Dekunda', 'Masukunda', 'Diarama']
INFO:root:['Patra', 'Rakukaja', 'Sukukaja', 'Dekunda']
INFO:root:['Diarama', 'Recarm', 'Patra', 'Mind Charge']
INFO:root:['Recarm', 'Mind Charge', 'Patra', 'Masukunda']
INFO:root:['Diarahan', 'Patra', 'Sukukaja', 'Megido']
INFO:root:['Diarahan', 'Patra', 'Tarukaja', 'Sukukaja']
INFO:root:['Rakukaja', 'Recarm', 'Wind Amp', 'Patra']
INFO:root:['Dekunda', 'Patra', 'Diarahan', 'Diarama']
INFO:root:['Patra', 'Rakukaja', 'Mind Charge', 'Sukukaja']
INFO:root:['Patra', 'Rakukaja', 'Mind Charge', 'Dekunda']
INFO:root:['Diarama', 'Diarahan', 'Patra', 'Recarm']
INFO:root:['Patra', 'Recarm', 'Masukunda', 'Rakukaja']
INFO:root:['Diarahan', 'Patra', 'Wind Boost', 'Sukukaja']
INFO:root:['Patra', 'Wind Boost', 'Wind Amp', 'Diarama']
INFO:root:['Diarama', 'Patra', 'Sukukaja', 'Tarukaja']
INFO:root:['Dekunda', 'Wind Boost', 'Patra', 'Tarukaja']
INFO:root:['Wind Boost', 'Patra', 'Recarm', 'Sukukaja']
INFO:root:['Recarm', 'Dekunda', 'Patra', 'Tarukaja']
INFO:root:['Tarukaja', 'Patra', 'Growth 3', 'Dekunda']
INFO:root:['Patra', 'Wind Amp', 'Diarama', 'Recarm']
INFO:root:['Patra', 'Diarahan', 'Rakukaja', 'Zio']
INFO:root:['Patra', 'Zio', 'Tarukaja', 'Sukukaja']
INFO:root:['Recarm', 'Patra', 'Tarukaja', 'Null Dark']
INFO:root:['Masukunda', 'Patra', 'Diarama', 'Mind Charge']
INFO:root:['Patra', 'Sukukaja', 'Dekunda', 'Diarahan']
INFO:root:['Patra', 'Sukukaja', 'Diarama', 'Zio']
INFO:root:['Patra', 'Mind Charge', 'Diarama', 'Tarukaja']
INFO:root:['Patra', 'Recarm', 'Rakukaja', 'Sukukaja']
INFO:root:['Patra', 'Panta Rhei', 'Rakukaja', 'Diarahan']
INFO:root:['Patra', 'Masukunda', 'Diarama', 'Tarukaja']
INFO:root:['Diarahan', 'Diarama', 'Masukunda', 'Recarm']
INFO:root:['Diarama', 'Sukukaja', 'Patra', 'Diarahan']
INFO:root:['Recarm', 'Diarahan', 'Diarama', 'Patra']
INFO:root:['Rakukaja', 'Patra', 'Panta Rhei', 'Masukunda']
INFO:root:['Diarahan', 'Patra', 'Diarama', 'Mind Charge']
INFO:root:['Wind Boost', 'Megido', 'Rakukaja', 'Recarm']
INFO:root:['Patra', 'Dekunda', 'Masukunda', 'Tarukaja']
INFO:root:['Tarukaja', 'Recarm', 'Diarama', 'Patra']
INFO:root:['Diarama', 'Patra', 'Panta Rhei', 'Mazionga']
INFO:root:['Patra', 'Growth 3', 'Zio', 'Mind Charge']
INFO:root:['Diarama', 'Rakukaja', 'Tarukaja', 'Zio']
INFO:root:['Diarama', 'Patra', 'Recarm', 'Diarahan']
INFO:root:['Patra', 'Diarahan', 'Recarm', 'Diarama']
INFO:root:['Patra', 'Diarama', 'Zio', 'Rakukaja']
INFO:root:['Tarukaja', 'Recarm', 'Rakukaja', 'Sukukaja']
INFO:root:['Growth 3', 'Masukunda', 'Diarama', 'Sukukaja']
INFO:root:['Sukukaja', 'Patra', 'Wind Amp', 'Recarm']
INFO:root:['Patra', 'Tarukaja', 'Wind Amp', 'Dekunda']
INFO:root:['Patra', 'Tarukaja', 'Wind Amp', 'Dekunda']
INFO:root:['Dekunda', 'Patra', 'Tarukaja', 'Sukukaja']
INFO:root:['Wind Amp', 'Rakukaja', 'Patra', 'Sukukaja']
INFO:root:['Wind Amp', 'Growth 3', 'Tarukaja', 'Rakukaja']
INFO:root:['Recarm', 'Mind Charge', 'Diarahan', 'Diarama']
INFO:root:['Wind Amp', 'Diarama', 'Patra', 'Tarukaja']
INFO:root:['Diarama', 'Tarukaja', 'Patra', 'Diarahan']
INFO:root:['Wind Amp', 'Patra', 'Sukukaja', 'Zio']
INFO:root:['Patra', 'Diarahan', 'Dekunda', 'Tarukaja']
INFO:root:['Patra', 'Mind Charge', 'Zio', 'Wind Amp']
INFO:root:['Dekunda', 'Patra', 'Recarm', 'Wind Boost']
INFO:root:['Diarama', 'Dekunda', 'Sukukaja', 'Patra']
INFO:root:['Patra', 'Tarukaja', 'Diarahan', 'Mazionga']
INFO:root:['Dekunda', 'Sukukaja', 'Patra', 'Diarama']
INFO:root:['Dekunda', 'Sukukaja', 'Recarm', 'Rakukaja']
INFO:root:['Diarahan', 'Patra', 'Sukukaja', 'Tarukaja']
INFO:root:['Tarukaja', 'Patra', 'Rakukaja', 'Diarama']
INFO:root:['Sukukaja', 'Diarama', 'Recarm', 'Diarahan']
INFO:root:['Rakukaja', 'Tarukaja', 'Patra', 'Diarama']
INFO:root:['Patra', 'Tarukaja', 'Sukukaja', 'Rakukaja']
INFO:root:['Sukukaja', 'Zio', 'Diarama', 'Diarahan']
INFO:root:['Wind Boost', 'Patra', 'Sukukaja', 'Mind Charge']
INFO:root:['Tarukaja', 'Patra', 'Diarama', 'Mazionga']
INFO:root:['Patra', 'Recarm', 'Sukukaja', 'Growth 3']
INFO:root:['Patra', 'Mind Charge', 'Rakukaja', 'Dekunda']
INFO:root:['Patra', 'Diarama', 'Mind Charge', 'Masukunda']
INFO:root:['Patra', 'Mind Charge', 'Dekunda', 'Recarm']
INFO:root:['Megido', 'Patra', 'Tarukaja', 'Diarahan']
INFO:root:['Patra', 'Zio', 'Diarahan', 'Rakukaja']
INFO:root:['Tarukaja', 'Rakukaja', 'Masukunda', 'Patra']
INFO:root:['Sukukaja', 'Diarahan', 'Diarama', 'Patra']
INFO:root:['Diarama', 'Sukukaja', 'Patra', 'Diarahan']
INFO:root:['Patra', 'Diarama', 'Masukunda', 'Sukukaja']
INFO:root:['Masukunda', 'Dekunda', 'Zio', 'Mind Charge']
INFO:root:['Dekunda', 'Patra', 'Diarama', 'Sukukaja']
INFO:root:['Recarm', 'Zio', 'Rakukaja', 'Mazionga']
INFO:root:['Diarama', 'Recarm', 'Tarukaja', 'Patra']
INFO:root:['Rakukaja', 'Recarm', 'Patra', 'Zio']
INFO:root:['Rakukaja', 'Mind Charge', 'Patra', 'Null Dark']
INFO:root:['Dekunda', 'Tarukaja', 'Patra', 'Rakukaja']
INFO:root:['Wind Boost', 'Tarukaja', 'Rakukaja', 'Wind Amp']
INFO:root:['Diarahan', 'Growth 3', 'Patra', 'Diarama']
INFO:root:['Diarahan', 'Patra', 'Tarukaja', 'Null Dark']
INFO:root:['Diarama', 'Patra', 'Masukunda', 'Diarahan']
INFO:root:['Wind Amp', 'Patra', 'Mazionga', 'Diarahan']
INFO:root:['Patra', 'Diarama', 'Tarukaja', 'Masukunda']
INFO:root:['Rakukaja', 'Masukunda', 'Tarukaja', 'Diarama']
INFO:root:['Patra', 'Diarama', 'Diarahan', 'Tarukaja']
INFO:root:['Growth 3', 'Patra', 'Rakukaja', 'Wind Boost']
INFO:root:['Rakukaja', 'Sukukaja', 'Diarama', 'Patra']
INFO:root:['Patra', 'Rakukaja', 'Diarama', 'Recarm']
INFO:root:['Tarukaja', 'Patra', 'Diarama', 'Sukukaja']
INFO:root:['Rakukaja', 'Sukukaja', 'Patra', 'Masukunda']
INFO:root:['Recarm', 'Growth 3', 'Patra', 'Dekunda']
INFO:root:['Tarukaja', 'Patra', 'Diarama', 'Dekunda']
INFO:root:['Recarm', 'Patra', 'Dekunda', 'Tarukaja']
INFO:root:['Megido', 'Zio', 'Dekunda', 'Patra']
INFO:root:['Recarm', 'Mazionga', 'Patra', 'Diarahan']
INFO:root:['Patra', 'Mind Charge', 'Dekunda', 'Rakukaja']
INFO:root:['Patra', 'Mazionga', 'Rakukaja', 'Diarama']
INFO:root:['Sukukaja', 'Recarm', 'Patra', 'Zio']
INFO:root:['Patra', 'Rakukaja', 'Masukunda', 'Mind Charge']
INFO:root:['Rakukaja', 'Patra', 'Recarm', 'Zio']
INFO:root:['Patra', 'Tarukaja', 'Panta Rhei', 'Mind Charge']
INFO:root:['Recarm', 'Masukunda', 'Patra', 'Tarukaja']
INFO:root:['Patra', 'Diarama', 'Tarukaja', 'Recarm']
INFO:root:['Wind Boost', 'Zio', 'Diarama', 'Tarukaja']
INFO:root:['Patra', 'Tarukaja', 'Diarahan', 'Diarama']
INFO:root:['Patra', 'Dekunda', 'Zio', 'Mind Charge']
INFO:root:['Patra', 'Tarukaja', 'Sukukaja', 'Recarm']
INFO:root:['Diarahan', 'Masukunda', 'Patra', 'Recarm']
INFO:root:['Diarama', 'Patra', 'Zio', 'Recarm']
INFO:root:['Dekunda', 'Sukukaja', 'Diarahan', 'Tarukaja']
INFO:root:['Patra', 'Sukukaja', 'Zio', 'Recarm']
INFO:root:['Wind Boost', 'Tarukaja', 'Diarama', 'Sukukaja']
INFO:root:['Recarm', 'Sukukaja', 'Zio', 'Patra']
INFO:root:['Patra', 'Sukukaja', 'Masukunda', 'Dekunda']
INFO:root:['Rakukaja', 'Diarama', 'Recarm', 'Sukukaja']
INFO:root:['Tarukaja', 'Rakukaja', 'Diarama', 'Mind Charge']
INFO:root:['Tarukaja', 'Diarahan', 'Patra', 'Megido']
INFO:root:['Diarama', 'Rakukaja', 'Patra', 'Masukunda']
INFO:root:['Patra', 'Zio', 'Rakukaja', 'Mind Charge']
INFO:root:['Patra', 'Recarm', 'Mind Charge', 'Tarukaja']
INFO:root:['Patra', 'Tarukaja', 'Dekunda', 'Masukunda']
INFO:root:['Tarukaja', 'Rakukaja', 'Wind Boost', 'Recarm']
INFO:root:['Sukukaja', 'Patra', 'Rakukaja', 'Zio']
INFO:root:['Patra', 'Zio', 'Diarama', 'Sukukaja']
INFO:root:['Diarahan', 'Tarukaja', 'Patra', 'Rakukaja']
INFO:root:['Tarukaja', 'Patra', 'Diarama', 'Dekunda']
INFO:root:['Patra', 'Sukukaja', 'Masukunda', 'Panta Rhei']
INFO:root:['Recarm', 'Zio', 'Sukukaja', 'Rakukaja']
INFO:root:['Diarama', 'Patra', 'Masukunda', 'Mind Charge']
INFO:root:['Patra', 'Diarama', 'Mind Charge', 'Diarahan']
INFO:root:['Diarama', 'Patra', 'Growth 3', 'Masukunda']
INFO:root:['Patra', 'Diarama', 'Dekunda', 'Recarm']
INFO:root:['Diarahan', 'Tarukaja', 'Rakukaja', 'Patra']
INFO:root:['Tarukaja', 'Patra', 'Dekunda', 'Wind Boost']
INFO:root:['Sukukaja', 'Diarahan', 'Masukunda', 'Zio']
INFO:root:['Sukukaja', 'Mind Charge', 'Panta Rhei', 'Mazionga']
INFO:root:['Diarama', 'Rakukaja', 'Patra', 'Masukunda']
INFO:root:['Diarahan', 'Tarukaja', 'Dekunda', 'Patra']
INFO:root:['Wind Boost', 'Recarm', 'Rakukaja', 'Patra']
INFO:root:['Masukunda', 'Patra', 'Rakukaja', 'Zio']
INFO:root:['Tarukaja', 'Diarama', 'Rakukaja', 'Diarahan']
INFO:root:['Patra', 'Dekunda', 'Rakukaja', 'Tarukaja']
INFO:root:['Patra', 'Diarama', 'Zio', 'Growth 3']
INFO:root:['Tarukaja', 'Diarahan', 'Patra', 'Recarm']
INFO:root:['Wind Amp', 'Patra', 'Diarama', 'Rakukaja']
INFO:root:['Diarama', 'Patra', 'Zio', 'Rakukaja']
INFO:root:['Diarama', 'Mind Charge', 'Sukukaja', 'Zio']
INFO:root:['Rakukaja', 'Patra', 'Diarama', 'Tarukaja']
INFO:root:['Sukukaja', 'Diarama', 'Diarahan', 'Patra']
INFO:root:['Patra', 'Dekunda', 'Rakukaja', 'Recarm']
INFO:root:['Diarama', 'Patra', 'Sukukaja', 'Diarahan']
INFO:root:['Patra', 'Tarukaja', 'Diarama', 'Rakukaja']
INFO:root:['Masukunda', 'Diarahan', 'Sukukaja', 'Patra']
INFO:root:['Patra', 'Diarahan', 'Diarama', 'Dekunda']
INFO:root:['Rakukaja', 'Patra', 'Diarahan', 'Recarm']
INFO:root:['Patra', 'Tarukaja', 'Diarahan', 'Wind Boost']
INFO:root:['Patra', 'Zio', 'Dekunda', 'Diarahan']
INFO:root:['Patra', 'Diarama', 'Mind Charge', 'Tarukaja']
INFO:root:['Patra', 'Wind Boost', 'Sukukaja', 'Tarukaja']
INFO:root:['Rakukaja', 'Diarama', 'Dekunda', 'Patra']
INFO:root:['Sukukaja', 'Dekunda', 'Diarama', 'Recarm']
INFO:root:['Diarama', 'Rakukaja', 'Mind Charge', 'Dekunda']
INFO:root:['Null Dark', 'Patra', 'Masukunda', 'Diarama']
INFO:root:['Panta Rhei', 'Megido', 'Patra', 'Rakukaja']
INFO:root:['Sukukaja', 'Diarama', 'Rakukaja', 'Patra']
INFO:root:['Tarukaja', 'Patra', 'Sukukaja', 'Diarahan']
INFO:root:['Megido', 'Patra', 'Recarm', 'Diarahan']
INFO:root:['Diarama', 'Dekunda', 'Rakukaja', 'Wind Amp']
INFO:root:['Wind Amp', 'Masukunda', 'Patra', 'Diarahan']
INFO:root:['Tarukaja', 'Wind Amp', 'Mind Charge', 'Diarahan']
INFO:root:['Wind Amp', 'Patra', 'Recarm', 'Dekunda']
INFO:root:['Rakukaja', 'Diarahan', 'Growth 3', 'Patra']
INFO:root:['Rakukaja', 'Recarm', 'Dekunda', 'Zio']
INFO:root:['Diarahan', 'Recarm', 'Null Dark', 'Patra']
INFO:root:['Patra', 'Diarama', 'Sukukaja', 'Tarukaja']
INFO:root:['Recarm', 'Patra', 'Mind Charge', 'Sukukaja']
INFO:root:['Diarama', 'Recarm', 'Rakukaja', 'Sukukaja']
INFO:root:['Tarukaja', 'Patra', 'Dekunda', 'Diarama']
INFO:root:['Sukukaja', 'Panta Rhei', 'Patra', 'Mind Charge']
INFO:root:['Diarahan', 'Recarm', 'Patra', 'Panta Rhei']
INFO:root:['Recarm', 'Patra', 'Wind Boost', 'Diarahan']
INFO:root:['Patra', 'Diarahan', 'Diarama', 'Recarm']
INFO:root:['Diarahan', 'Patra', 'Masukunda', 'Growth 3']
INFO:root:['Panta Rhei', 'Patra', 'Tarukaja', 'Zio']
INFO:root:['Patra', 'Diarama', 'Tarukaja', 'Recarm']
INFO:root:['Diarahan', 'Patra', 'Zio', 'Diarama']
INFO:root:['Patra', 'Mazionga', 'Diarama', 'Dekunda']
INFO:root:['Patra', 'Sukukaja', 'Recarm', 'Zio']
INFO:root:['Patra', 'Zio', 'Diarama', 'Sukukaja']
INFO:root:['Patra', 'Rakukaja', 'Diarama', 'Zio']
INFO:root:['Rakukaja', 'Tarukaja', 'Diarahan', 'Sukukaja']
INFO:root:['Diarama', 'Rakukaja', 'Diarahan', 'Patra']
INFO:root:['Patra', 'Megido', 'Growth 3', 'Dekunda']
INFO:root:['Patra', 'Rakukaja', 'Null Dark', 'Wind Boost']
INFO:root:['Diarama', 'Patra', 'Dekunda', 'Rakukaja']
INFO:root:['Wind Amp', 'Rakukaja', 'Dekunda', 'Recarm']
INFO:root:['Diarama', 'Patra', 'Tarukaja', 'Wind Boost']
INFO:root:['Patra', 'Wind Boost', 'Diarahan', 'Diarama']
INFO:root:['Patra', 'Dekunda', 'Rakukaja', 'Megido']
INFO:root:['Diarama', 'Patra', 'Masukunda', 'Zio']
INFO:root:['Mind Charge', 'Dekunda', 'Wind Boost', 'Patra']
INFO:root:['Wind Boost', 'Patra', 'Diarahan', 'Masukunda']
INFO:root:['Diarahan', 'Diarama', 'Patra', 'Sukukaja']
INFO:root:['Patra', 'Masukunda', 'Wind Boost', 'Recarm']
INFO:root:['Diarama', 'Patra', 'Zio', 'Sukukaja']
INFO:root:['Patra', 'Diarama', 'Masukunda', 'Zio']
INFO:root:['Sukukaja', 'Diarama', 'Recarm', 'Patra']
INFO:root:['Sukukaja', 'Patra', 'Diarama', 'Recarm']
INFO:root:['Wind Amp', 'Sukukaja', 'Tarukaja', 'Patra']
INFO:root:['Tarukaja', 'Patra', 'Rakukaja', 'Diarama']
INFO:root:['Patra', 'Diarahan', 'Sukukaja', 'Rakukaja']
INFO:root:['Diarama', 'Tarukaja', 'Wind Boost', 'Recarm']
INFO:root:['Rakukaja', 'Tarukaja', 'Sukukaja', 'Masukunda']
INFO:root:['Tarukaja', 'Diarahan', 'Masukunda', 'Dekunda']
INFO:root:['Patra', 'Tarukaja', 'Diarama', 'Zio']
INFO:root:['Masukunda', 'Sukukaja', 'Patra', 'Tarukaja']
INFO:root:['Recarm', 'Diarama', 'Patra', 'Megido']
INFO:root:['Sukukaja', 'Masukunda', 'Diarahan', 'Mind Charge']
INFO:root:['Patra', 'Diarahan', 'Recarm', 'Sukukaja']
INFO:root:['Diarahan', 'Tarukaja', 'Diarama', 'Patra']
INFO:root:['Masukunda', 'Wind Amp', 'Patra', 'Recarm']
INFO:root:['Patra', 'Dekunda', 'Sukukaja', 'Recarm']
INFO:root:['Diarama', 'Sukukaja', 'Patra', 'Diarahan']
INFO:root:['Tarukaja', 'Sukukaja', 'Diarama', 'Patra']
INFO:root:['Tarukaja', 'Wind Boost', 'Recarm', 'Patra']
INFO:root:['Diarahan', 'Patra', 'Sukukaja', 'Mind Charge']
INFO:root:['Diarama', 'Rakukaja', 'Recarm', 'Diarahan']
INFO:root:['Sukukaja', 'Diarama', 'Tarukaja', 'Dekunda']
INFO:root:['Diarama', 'Dekunda', 'Recarm', 'Rakukaja']
INFO:root:['Recarm', 'Sukukaja', 'Patra', 'Rakukaja']
INFO:root:['Rakukaja', 'Patra', 'Diarahan', 'Tarukaja']
INFO:root:['Patra', 'Diarahan', 'Tarukaja', 'Recarm']
INFO:root:['Sukukaja', 'Mind Charge', 'Patra', 'Zio']
INFO:root:['Recarm', 'Tarukaja', 'Rakukaja', 'Patra']
INFO:root:['Dekunda', 'Patra', 'Recarm', 'Tarukaja']
INFO:root:['Diarahan', 'Diarama', 'Megido', 'Tarukaja']
INFO:root:['Masukunda', 'Panta Rhei', 'Diarama', 'Patra']
INFO:root:['Patra', 'Recarm', 'Rakukaja', 'Diarama']
INFO:root:['Sukukaja', 'Patra', 'Wind Amp', 'Diarama']
INFO:root:['Wind Amp', 'Patra', 'Tarukaja', 'Mind Charge']
INFO:root:['Patra', 'Sukukaja', 'Diarama', 'Tarukaja']
INFO:root:['Patra', 'Recarm', 'Zio', 'Diarahan']
INFO:root:['Wind Amp', 'Mind Charge', 'Patra', 'Diarahan']
INFO:root:['Wind Amp', 'Sukukaja', 'Patra', 'Diarama']
INFO:root:['Growth 3', 'Patra', 'Sukukaja', 'Recarm']
INFO:root:['Masukunda', 'Dekunda', 'Patra', 'Diarama']
INFO:root:['Rakukaja', 'Recarm', 'Dekunda', 'Diarahan']
INFO:root:['Patra', 'Rakukaja', 'Zio', 'Tarukaja']
INFO:root:['Patra', 'Recarm', 'Diarama', 'Sukukaja']
INFO:root:['Diarahan', 'Sukukaja', 'Recarm', 'Patra']
INFO:root:['Diarahan', 'Tarukaja', 'Recarm', 'Dekunda']
INFO:root:['Patra', 'Diarama', 'Tarukaja', 'Rakukaja']
INFO:root:['Diarahan', 'Mind Charge', 'Tarukaja', 'Patra']
INFO:root:['Diarama', 'Null Dark', 'Sukukaja', 'Mind Charge']
INFO:root:['Diarama', 'Sukukaja', 'Tarukaja', 'Diarahan']
INFO:root:['Megido', 'Diarahan', 'Diarama', 'Sukukaja']
INFO:root:['Patra', 'Diarama', 'Wind Boost', 'Tarukaja']
INFO:root:['Patra', 'Mind Charge', 'Diarahan', 'Tarukaja']
INFO:root:['Dekunda', 'Patra', 'Masukunda', 'Diarama']
INFO:root:['Dekunda', 'Mind Charge', 'Zio', 'Patra']
INFO:root:['Patra', 'Sukukaja', 'Recarm', 'Dekunda']
INFO:root:['Masukunda', 'Diarama', 'Null Dark', 'Patra']
INFO:root:['Diarahan', 'Dekunda', 'Patra', 'Mind Charge']
INFO:root:['Tarukaja', 'Rakukaja', 'Patra', 'Wind Boost']
INFO:root:['Recarm', 'Patra', 'Sukukaja', 'Diarahan']
INFO:root:['Mind Charge', 'Patra', 'Recarm', 'Sukukaja']
INFO:root:['Patra', 'Sukukaja', 'Masukunda', 'Diarama']
INFO:root:['Patra', 'Recarm', 'Diarama', 'Diarahan']
INFO:root:['Dekunda', 'Diarama', 'Rakukaja', 'Patra']
INFO:root:['Rakukaja', 'Sukukaja', 'Dekunda', 'Patra']
INFO:root:['Wind Amp', 'Recarm', 'Patra', 'Rakukaja']
INFO:root:['Masukunda', 'Zio', 'Sukukaja', 'Patra']
INFO:root:['Sukukaja', 'Patra', 'Recarm', 'Diarama']
INFO:root:['Rakukaja', 'Wind Amp', 'Patra', 'Mind Charge']
INFO:root:['Rakukaja', 'Sukukaja', 'Diarama', 'Diarahan']
INFO:root:['Patra', 'Tarukaja', 'Dekunda', 'Masukunda']
INFO:root:['Recarm', 'Patra', 'Dekunda', 'Sukukaja']
INFO:root:['Rakukaja', 'Growth 3', 'Patra', 'Recarm']
INFO:root:['Masukunda', 'Patra', 'Rakukaja', 'Diarahan']
INFO:root:['Diarama', 'Tarukaja', 'Patra', 'Sukukaja']
INFO:root:['Patra', 'Mind Charge', 'Wind Boost', 'Sukukaja']
INFO:root:['Dekunda', 'Recarm', 'Sukukaja', 'Patra']
INFO:root:['Patra', 'Diarama', 'Zio', 'Diarahan']
INFO:root:['Sukukaja', 'Tarukaja', 'Dekunda', 'Patra']
INFO:root:['Patra', 'Recarm', 'Wind Boost', 'Rakukaja']
INFO:root:['Tarukaja', 'Recarm', 'Patra', 'Diarama']
INFO:root:['Diarama', 'Patra', 'Mind Charge', 'Diarahan']
INFO:root:['Patra', 'Diarama', 'Sukukaja', 'Dekunda']
INFO:root:['Tarukaja', 'Patra', 'Mind Charge', 'Masukunda']
INFO:root:['Diarama', 'Patra', 'Masukunda', 'Sukukaja']
INFO:root:['Patra', 'Diarama', 'Tarukaja', 'Masukunda']
INFO:root:['Recarm', 'Dekunda', 'Patra', 'Sukukaja']
INFO:root:['Diarahan', 'Sukukaja', 'Patra', 'Recarm']
INFO:root:['Dekunda', 'Sukukaja', 'Patra', 'Tarukaja']
INFO:root:['Patra', 'Diarahan', 'Null Dark', 'Growth 3']
INFO:root:['Rakukaja', 'Patra', 'Sukukaja', 'Mazionga']
INFO:root:['Patra', 'Sukukaja', 'Tarukaja', 'Mind Charge']
INFO:root:['Diarama', 'Patra', 'Sukukaja', 'Dekunda']
INFO:root:['Wind Boost', 'Diarama', 'Tarukaja', 'Rakukaja']
INFO:root:['Sukukaja', 'Recarm', 'Diarahan', 'Rakukaja']
INFO:root:['Recarm', 'Diarama', 'Diarahan', 'Patra']
INFO:root:['Patra', 'Tarukaja', 'Mazionga', 'Mind Charge']
INFO:root:['Diarahan', 'Null Dark', 'Patra', 'Tarukaja']
INFO:root:['Masukunda', 'Patra', 'Diarama', 'Rakukaja']
