INFO:root:['Samarecarm', 'Unshaken Will', 'Growth 3', 'Auto-Tarukaja', 'Spell Master']
INFO:root:['Wind Amp', 'Wind Boost', 'Mediarahan', 'Growth 3', 'Deathbound']
INFO:root:['Auto-Tarukaja', 'Mind Charge', 'Wind Boost', 'Samarecarm', 'Unshaken Will']
INFO:root:['Spell Master', 'Victory Cry', 'Wind Boost', 'Auto-Rakukaja', 'Akasha Arts']
INFO:root:['Mediarahan', 'Auto-Rakukaja', 'Wind Amp', 'Wind Boost', 'High Counter']
INFO:root:['Wind Amp', 'Auto-Rakukaja', 'Auto-Tarukaja', 'Mind Charge', 'Wind Boost']
INFO:root:['Mediarahan', 'Wind Amp', 'Auto-Rakukaja', 'Growth 3', 'Fire Amp']
INFO:root:['Mind Charge', 'Growth 3', 'Wind Boost', 'Auto-Tarukaja', 'Auto-Rakukaja']
INFO:root:['High Counter', 'Wind Boost', 'Regenerate 3', 'Fire Amp', 'Auto-Tarukaja']
INFO:root:['Wind Boost', 'Samarecarm', 'Auto-Rakukaja', 'Fire Amp', 'Wind Amp']
INFO:root:['Auto-Rakukaja', 'Wind Boost', 'Auto-Tarukaja', 'Wind Amp', 'Unshaken Will']
INFO:root:['Wind Boost', 'Unshaken Will', 'High Counter', 'Mind Charge', 'Wind Amp']
