INFO:root:['Tarukaja', 'Charmdi', 'Patra', 'Megidolaon']
INFO:root:['Tarukaja', 'Charmdi', 'Counter', 'Patra']
INFO:root:['Tarukaja', 'Patra', 'Charmdi', 'Tetrakarn']
INFO:root:['Patra', 'Salvation', 'Charmdi', 'Sukukaja']
INFO:root:['Tarukaja', 'Patra', 'Megido', 'Tetrakarn']
INFO:root:['Charmdi', 'Patra', 'Sukukaja', 'Salvation']
INFO:root:['Sukukaja', 'Salvation', 'Charmdi', 'Patra']
INFO:root:['Patra', 'Charmdi', 'Ziodyne', 'Salvation']
INFO:root:['Charmdi', 'Salvation', 'Patra', 'Tarukaja']
INFO:root:['Charmdi', 'Wind Amp', 'Patra', 'Tarukaja']
INFO:root:['Sukukaja', 'Patra', 'Tarukaja', 'Tetrakarn']
INFO:root:['Patra', 'Garu', 'Counter', 'Charmdi']
INFO:root:['Garu', 'Charmdi', 'Patra', 'Mind Charge']
INFO:root:['Sukukaja', 'Patra', 'Salvation', 'Spell Master']
INFO:root:['Garu', 'Patra', 'Charmdi', 'Tetrakarn']
INFO:root:['Charmdi', 'Patra', 'Garu', 'Mind Charge']
INFO:root:['Patra', 'Charmdi', 'Garu', 'Sukukaja']
INFO:root:['Growth 3', 'Sukukaja', 'Charmdi', 'Patra']
INFO:root:['Mind Charge', 'Charmdi', 'Salvation', 'Patra']
INFO:root:['Tarukaja', 'Patra', 'Sukukaja', 'Mind Charge']
INFO:root:['Sukukaja', 'Patra', 'Garu', 'Tarukaja']
INFO:root:['Counter', 'Charmdi', 'Ziodyne', 'Sukukaja']
INFO:root:['Charmdi', 'Tarukaja', 'Patra', 'Salvation']
INFO:root:['Patra', 'Charmdi', 'Mind Charge', 'Garu']
INFO:root:['Charmdi', 'Garu', 'Patra', 'Tarukaja']
INFO:root:['Sukukaja', 'Charmdi', 'Patra', 'Salvation']
INFO:root:['Spell Master', 'Patra', 'Charmdi', 'Garu']
INFO:root:['Sukukaja', 'Patra', 'Garu', 'Tetrakarn']
INFO:root:['Charmdi', 'Wind Amp', 'Patra', 'Sukukaja']
INFO:root:['Patra', 'Tarukaja', 'Ziodyne', 'Mind Charge']
INFO:root:['Hama', 'Patra', 'Garu', 'Ziodyne']
INFO:root:['Tetrakarn', 'Patra', 'Charmdi', 'Salvation']
INFO:root:['Patra', 'Salvation', 'Megido', 'Mind Charge']
INFO:root:['Patra', 'Charmdi', 'Megidolaon', 'Mind Charge']
INFO:root:['Mind Charge', 'Patra', 'Garu', 'Sukukaja']
INFO:root:['Patra', 'Sukukaja', 'Mind Charge', 'Salvation']
INFO:root:['Patra', 'Charmdi', 'Mind Charge', 'Sukukaja']
INFO:root:['Sukukaja', 'Patra', 'Charmdi', 'Tarukaja']
INFO:root:['Sukukaja', 'Patra', 'Mind Charge', 'Counter']
INFO:root:['Patra', 'Charmdi', 'Sukukaja', 'Ziodyne']
INFO:root:['Garu', 'Charmdi', 'Tarukaja', 'Growth 3']
INFO:root:['Salvation', 'Charmdi', 'Counter', 'Patra']
INFO:root:['Patra', 'Salvation', 'Garu', 'Sukukaja']
INFO:root:['Tarukaja', 'Charmdi', 'Ziodyne', 'Patra']
INFO:root:['Tarukaja', 'Patra', 'Mind Charge', 'Charmdi']
INFO:root:['Tarukaja', 'Patra', 'Mind Charge', 'Hama']
INFO:root:['Patra', 'Charmdi', 'Salvation', 'Sukukaja']
INFO:root:['Sukukaja', 'Charmdi', 'Hama', 'Mind Charge']
INFO:root:['Patra', 'Sukukaja', 'Charmdi', 'Tarukaja']
INFO:root:['Mind Charge', 'Charmdi', 'Salvation', 'Patra']
INFO:root:['Mind Charge', 'Tetrakarn', 'Patra', 'Sukukaja']
INFO:root:['Garu', 'Patra', 'Growth 3', 'Sukukaja']
INFO:root:['Tarukaja', 'Hama', 'Patra', 'Charmdi']
INFO:root:['Patra', 'Sukukaja', 'Garu', 'Tetrakarn']
INFO:root:['Patra', 'Charmdi', 'Tarukaja', 'Garu']
INFO:root:['Salvation', 'Charmdi', 'Patra', 'Sukukaja']
INFO:root:['Patra', 'Tetrakarn', 'Charmdi', 'Counter']
INFO:root:['Salvation', 'Patra', 'Sukukaja', 'Garu']
INFO:root:['Charmdi', 'Patra', 'Garu', 'Tarukaja']
INFO:root:['Tetrakarn', 'Patra', 'Charmdi', 'Tarukaja']
INFO:root:['Patra', 'Charmdi', 'Tarukaja', 'Sukukaja']
INFO:root:['Tarukaja', 'Patra', 'Tetrakarn', 'Charmdi']
INFO:root:['Patra', 'Tarukaja', 'Sukukaja', 'Charmdi']
INFO:root:['Patra', 'Charmdi', 'Mind Charge', 'Sukukaja']
INFO:root:['Patra', 'Charmdi', 'Sukukaja', 'Tarukaja']
INFO:root:['Charmdi', 'Salvation', 'Tarukaja', 'Patra']
INFO:root:['Charmdi', 'Tarukaja', 'Tetrakarn', 'Salvation']
INFO:root:['Charmdi', 'Salvation', 'Sukukaja', 'Patra']
INFO:root:['Patra', 'Charmdi', 'Garu', 'Sukukaja']
INFO:root:['Sukukaja', 'Patra', 'Garu', 'Charmdi']
INFO:root:['Charmdi', 'Sukukaja', 'Patra', 'Tarukaja']
INFO:root:['Tarukaja', 'Sukukaja', 'Salvation', 'Tetrakarn']
INFO:root:['Patra', 'Growth 3', 'Sukukaja', 'Tetrakarn']
INFO:root:['Patra', 'Charmdi', 'Sukukaja', 'Garu']
INFO:root:['Patra', 'Charmdi', 'Mind Charge', 'Sukukaja']
INFO:root:['Patra', 'Tarukaja', 'Mind Charge', 'Charmdi']
INFO:root:['Garu', 'Charmdi', 'Patra', 'Sukukaja']
INFO:root:['Patra', 'Sukukaja', 'Tetrakarn', 'Tarukaja']
INFO:root:['Patra', 'Garu', 'Charmdi', 'Ziodyne']
INFO:root:['Patra', 'Tarukaja', 'Charmdi', 'Garu']
INFO:root:['Patra', 'Wind Amp', 'Tarukaja', 'Sukukaja']
INFO:root:['Patra', 'Mind Charge', 'Tarukaja', 'Charmdi']
INFO:root:['Sukukaja', 'Patra', 'Tetrakarn', 'Megido']
INFO:root:['Tarukaja', 'Patra', 'Charmdi', 'Mind Charge']
INFO:root:['Counter', 'Charmdi', 'Tarukaja', 'Patra']
INFO:root:['Patra', 'Garu', 'Charmdi', 'Salvation']
INFO:root:['Patra', 'Charmdi', 'Sukukaja', 'Spell Master']
INFO:root:['Patra', 'Salvation', 'Garu', 'Charmdi']
INFO:root:['Tarukaja', 'Mind Charge', 'Charmdi', 'Patra']
INFO:root:['Patra', 'Growth 3', 'Salvation', 'Charmdi']
INFO:root:['Tarukaja', 'Salvation', 'Patra', 'Ziodyne']
INFO:root:['Patra', 'Charmdi', 'Sukukaja', 'Mind Charge']
INFO:root:['Tarukaja', 'Charmdi', 'Patra', 'Sukukaja']
INFO:root:['Patra', 'Charmdi', 'Sukukaja', 'Tetrakarn']
INFO:root:['Patra', 'Sukukaja', 'Garu', 'Charmdi']
INFO:root:['Patra', 'Charmdi', 'Counter', 'Mind Charge']
INFO:root:['Patra', 'Tetrakarn', 'Garu', 'Charmdi']
INFO:root:['Growth 3', 'Sukukaja', 'Tetrakarn', 'Charmdi']
INFO:root:['Patra', 'Tarukaja', 'Sukukaja', 'Garu']
INFO:root:['Sukukaja', 'Patra', 'Charmdi', 'Garu']
INFO:root:['Patra', 'Sukukaja', 'Charmdi', 'Megido']
INFO:root:['Patra', 'Tarukaja', 'Counter', 'Charmdi']
INFO:root:['Ziodyne', 'Tarukaja', 'Sukukaja', 'Wind Amp']
INFO:root:['Sukukaja', 'Patra', 'Tarukaja', 'Charmdi']
INFO:root:['Growth 3', 'Patra', 'Megidolaon', 'Tetrakarn']
INFO:root:['Charmdi', 'Patra', 'Tetrakarn', 'Garu']
INFO:root:['Patra', 'Charmdi', 'Sukukaja', 'Tarukaja']
INFO:root:['Patra', 'Garu', 'Charmdi', 'Sukukaja']
INFO:root:['Patra', 'Tarukaja', 'Ziodyne', 'Salvation']
INFO:root:['Charmdi', 'Patra', 'Spell Master', 'Tarukaja']
INFO:root:['Garu', 'Tarukaja', 'Patra', 'Charmdi']
INFO:root:['Patra', 'Wind Amp', 'Charmdi', 'Counter']
INFO:root:['Sukukaja', 'Garu', 'Patra', 'Mind Charge']
INFO:root:['Charmdi', 'Patra', 'Sukukaja', 'Megido']
INFO:root:['Tarukaja', 'Garu', 'Sukukaja', 'Patra']
INFO:root:['Tarukaja', 'Tetrakarn', 'Garu', 'Patra']
INFO:root:['Mind Charge', 'Garu', 'Tarukaja', 'Tetrakarn']
INFO:root:['Patra', 'Growth 3', 'Megido', 'Wind Amp']
INFO:root:['Patra', 'Ziodyne', 'Sukukaja', 'Garu']
INFO:root:['Charmdi', 'Tetrakarn', 'Patra', 'Salvation']
INFO:root:['Patra', 'Salvation', 'Megido', 'Sukukaja']
INFO:root:['Sukukaja', 'Ziodyne', 'Patra', 'Charmdi']
INFO:root:['Patra', 'Growth 3', 'Mind Charge', 'Wind Amp']
INFO:root:['Wind Amp', 'Garu', 'Charmdi', 'Sukukaja']
INFO:root:['Sukukaja', 'Patra', 'Charmdi', 'Salvation']
INFO:root:['Patra', 'Sukukaja', 'Tetrakarn', 'Charmdi']
INFO:root:['Patra', 'Salvation', 'Charmdi', 'Sukukaja']
INFO:root:['Tetrakarn', 'Patra', 'Garu', 'Growth 3']
INFO:root:['Patra', 'Tarukaja', 'Garu', 'Charmdi']
INFO:root:['Charmdi', 'Patra', 'Ziodyne', 'Tarukaja']
INFO:root:['Tarukaja', 'Charmdi', 'Garu', 'Ziodyne']
INFO:root:['Patra', 'Tarukaja', 'Hama', 'Garu']
INFO:root:['Patra', 'Charmdi', 'Tarukaja', 'Counter']
INFO:root:['Patra', 'Wind Amp', 'Garu', 'Charmdi']
INFO:root:['Patra', 'Charmdi', 'Sukukaja', 'Wind Amp']
INFO:root:['Patra', 'Mind Charge', 'Sukukaja', 'Wind Amp']
INFO:root:['Tarukaja', 'Charmdi', 'Megido', 'Patra']
INFO:root:['Unshaken Will', 'Patra', 'Sukukaja', 'Tarukaja']
INFO:root:['Patra', 'Ziodyne', 'Charmdi', 'Tetrakarn']
INFO:root:['Sukukaja', 'Patra', 'Charmdi', 'Garu']
INFO:root:['Tarukaja', 'Patra', 'Charmdi', 'Salvation']
INFO:root:['Patra', 'Sukukaja', 'Salvation', 'Garu']
INFO:root:['Growth 3', 'Tetrakarn', 'Charmdi', 'Tarukaja']
INFO:root:['Tarukaja', 'Charmdi', 'Patra', 'Salvation']
INFO:root:['Charmdi', 'Wind Amp', 'Patra', 'Megido']
INFO:root:['Patra', 'Sukukaja', 'Salvation', 'Tetrakarn']
INFO:root:['Mind Charge', 'Patra', 'Counter', 'Charmdi']
INFO:root:['Patra', 'Charmdi', 'Salvation', 'Mind Charge']
INFO:root:['Patra', 'Garu', 'Charmdi', 'Tetrakarn']
INFO:root:['Garu', 'Charmdi', 'Patra', 'Salvation']
INFO:root:['Spell Master', 'Charmdi', 'Patra', 'Sukukaja']
INFO:root:['Patra', 'Charmdi', 'Growth 3', 'Mind Charge']
INFO:root:['Garu', 'Patra', 'Salvation', 'Charmdi']
INFO:root:['Tetrakarn', 'Patra', 'Sukukaja', 'Garu']
INFO:root:['Patra', 'Tetrakarn', 'Tarukaja', 'Mind Charge']
INFO:root:['Charmdi', 'Patra', 'Mind Charge', 'Garu']
INFO:root:['Patra', 'Megido', 'Charmdi', 'Salvation']
INFO:root:['Tetrakarn', 'Patra', 'Charmdi', 'Mind Charge']
INFO:root:['Patra', 'Salvation', 'Tarukaja', 'Megido']
INFO:root:['Mind Charge', 'Patra', 'Charmdi', 'Salvation']
INFO:root:['Salvation', 'Patra', 'Charmdi', 'Tarukaja']
INFO:root:['Sukukaja', 'Charmdi', 'Patra', 'Tarukaja']
INFO:root:['Tarukaja', 'Patra', 'Salvation', 'Garu']
INFO:root:['Patra', 'Tarukaja', 'Charmdi', 'Salvation']
INFO:root:['Sukukaja', 'Tarukaja', 'Patra', 'Megido']
INFO:root:['Patra', 'Sukukaja', 'Garu', 'Tarukaja']
INFO:root:['Charmdi', 'Patra', 'Salvation', 'Tarukaja']
INFO:root:['Patra', 'Tarukaja', 'Sukukaja', 'Charmdi']
INFO:root:['Patra', 'Sukukaja', 'Tetrakarn', 'Charmdi']
INFO:root:['Charmdi', 'Patra', 'Tarukaja', 'Garu']
INFO:root:['Charmdi', 'Tarukaja', 'Patra', 'Megido']
INFO:root:['Tarukaja', 'Salvation', 'Patra', 'Garu']
INFO:root:['Patra', 'Salvation', 'Charmdi', 'Mind Charge']
INFO:root:['Charmdi', 'Salvation', 'Tarukaja', 'Patra']
INFO:root:['Patra', 'Tetrakarn', 'Salvation', 'Tarukaja']
INFO:root:['Charmdi', 'Patra', 'Tarukaja', 'Sukukaja']
INFO:root:['Tetrakarn', 'Patra', 'Megido', 'Charmdi']
INFO:root:['Charmdi', 'Patra', 'Wind Amp', 'Sukukaja']
INFO:root:['Charmdi', 'Megido', 'Patra', 'Counter']
INFO:root:['Patra', 'Tarukaja', 'Sukukaja', 'Charmdi']
INFO:root:['Megido', 'Sukukaja', 'Patra', 'Tarukaja']
INFO:root:['Charmdi', 'Mind Charge', 'Patra', 'Tetrakarn']
INFO:root:['Mind Charge', 'Sukukaja', 'Patra', 'Charmdi']
INFO:root:['Charmdi', 'Patra', 'Tarukaja', 'Salvation']
INFO:root:['Garu', 'Patra', 'Sukukaja', 'Charmdi']
INFO:root:['Patra', 'Salvation', 'Tarukaja', 'Charmdi']
INFO:root:['Sukukaja', 'Charmdi', 'Garu', 'Patra']
INFO:root:['Charmdi', 'Patra', 'Sukukaja', 'Mind Charge']
INFO:root:['Sukukaja', 'Tetrakarn', 'Patra', 'Charmdi']
INFO:root:['Sukukaja', 'Patra', 'Salvation', 'Mind Charge']
INFO:root:['Charmdi', 'Unshaken Will', 'Patra', 'Tarukaja']
INFO:root:['Mind Charge', 'Megido', 'Charmdi', 'Salvation']
INFO:root:['Charmdi', 'Growth 3', 'Patra', 'Tetrakarn']
INFO:root:['Patra', 'Charmdi', 'Tarukaja', 'Tetrakarn']
INFO:root:['Patra', 'Charmdi', 'Tetrakarn', 'Spell Master']
INFO:root:['Wind Amp', 'Patra', 'Spell Master', 'Mind Charge']
INFO:root:['Patra', 'Sukukaja', 'Garu', 'Charmdi']
INFO:root:['Sukukaja', 'Patra', 'Tetrakarn', 'Charmdi']
INFO:root:['Growth 3', 'Sukukaja', 'Charmdi', 'Patra']
INFO:root:['Patra', 'Charmdi', 'Salvation', 'Sukukaja']
INFO:root:['Patra', 'Charmdi', 'Megido', 'Megidolaon']
INFO:root:['Patra', 'Tarukaja', 'Megido', 'Charmdi']
INFO:root:['Patra', 'Charmdi', 'Sukukaja', 'Tetrakarn']
INFO:root:['Sukukaja', 'Counter', 'Patra', 'Charmdi']
INFO:root:['Tarukaja', 'Charmdi', 'Patra', 'Mind Charge']
INFO:root:['Patra', 'Charmdi', 'Tarukaja', 'Salvation']
INFO:root:['Patra', 'Tarukaja', 'Charmdi', 'Garu']
INFO:root:['Patra', 'Tarukaja', 'Tetrakarn', 'Salvation']
INFO:root:['Patra', 'Tarukaja', 'Salvation', 'Charmdi']
INFO:root:['Patra', 'Salvation', 'Tarukaja', 'Charmdi']
INFO:root:['Counter', 'Patra', 'Tarukaja', 'Charmdi']
INFO:root:['Garu', 'Patra', 'Mind Charge', 'Charmdi']
INFO:root:['Patra', 'Ziodyne', 'Mind Charge', 'Tetrakarn']
INFO:root:['Charmdi', 'Sukukaja', 'Patra', 'Tarukaja']
INFO:root:['Sukukaja', 'Patra', 'Tarukaja', 'Unshaken Will']
INFO:root:['Sukukaja', 'Patra', 'Charmdi', 'Garu']
INFO:root:['Tarukaja', 'Patra', 'Charmdi', 'Tetrakarn']
INFO:root:['Patra', 'Salvation', 'Garu', 'Charmdi']
INFO:root:['Tarukaja', 'Tetrakarn', 'Sukukaja', 'Patra']
INFO:root:['Charmdi', 'Patra', 'Sukukaja', 'Tarukaja']
INFO:root:['Tarukaja', 'Patra', 'Ziodyne', 'Sukukaja']
INFO:root:['Patra', 'Charmdi', 'Megido', 'Garu']
INFO:root:['Patra', 'Charmdi', 'Sukukaja', 'Tarukaja']
INFO:root:['Patra', 'Charmdi', 'Mind Charge', 'Garu']
INFO:root:['Patra', 'Sukukaja', 'Garu', 'Wind Amp']
INFO:root:['Charmdi', 'Sukukaja', 'Patra', 'Counter']
INFO:root:['Mind Charge', 'Patra', 'Tarukaja', 'Sukukaja']
INFO:root:['Counter', 'Hama', 'Patra', 'Salvation']
INFO:root:['Patra', 'Tarukaja', 'Counter', 'Charmdi']
INFO:root:['Sukukaja', 'Mind Charge', 'Growth 3', 'Charmdi']
INFO:root:['Tarukaja', 'Wind Amp', 'Garu', 'Salvation']
INFO:root:['Patra', 'Tarukaja', 'Garu', 'Sukukaja']
INFO:root:['Patra', 'Tarukaja', 'Growth 3', 'Sukukaja']
INFO:root:['Charmdi', 'Patra', 'Sukukaja', 'Growth 3']
INFO:root:['Sukukaja', 'Patra', 'Salvation', 'Mind Charge']
INFO:root:['Patra', 'Sukukaja', 'Tarukaja', 'Unshaken Will']
INFO:root:['Patra', 'Mind Charge', 'Charmdi', 'Tetrakarn']
INFO:root:['Patra', 'Charmdi', 'Salvation', 'Sukukaja']
INFO:root:['Patra', 'Sukukaja', 'Tarukaja', 'Garu']
INFO:root:['Garu', 'Patra', 'Charmdi', 'Sukukaja']
INFO:root:['Patra', 'Charmdi', 'Tarukaja', 'Garu']
INFO:root:['Wind Amp', 'Counter', 'Garu', 'Charmdi']
INFO:root:['Mind Charge', 'Charmdi', 'Patra', 'Garu']
INFO:root:['Sukukaja', 'Patra', 'Mind Charge', 'Counter']
INFO:root:['Charmdi', 'Garu', 'Patra', 'Counter']
INFO:root:['Charmdi', 'Patra', 'Sukukaja', 'Salvation']
INFO:root:['Tarukaja', 'Mind Charge', 'Sukukaja', 'Patra']
INFO:root:['Tarukaja', 'Sukukaja', 'Patra', 'Mind Charge']
INFO:root:['Counter', 'Tarukaja', 'Charmdi', 'Patra']
INFO:root:['Patra', 'Garu', 'Tarukaja', 'Ziodyne']
INFO:root:['Counter', 'Charmdi', 'Sukukaja', 'Mind Charge']
INFO:root:['Sukukaja', 'Patra', 'Tarukaja', 'Charmdi']
INFO:root:['Patra', 'Sukukaja', 'Spell Master', 'Charmdi']
INFO:root:['Sukukaja', 'Charmdi', 'Salvation', 'Patra']
INFO:root:['Patra', 'Salvation', 'Sukukaja', 'Mind Charge']
INFO:root:['Charmdi', 'Tetrakarn', 'Sukukaja', 'Tarukaja']
INFO:root:['Patra', 'Tetrakarn', 'Mind Charge', 'Wind Amp']
INFO:root:['Patra', 'Charmdi', 'Salvation', 'Counter']
INFO:root:['Patra', 'Charmdi', 'Spell Master', 'Sukukaja']
INFO:root:['Tarukaja', 'Patra', 'Tetrakarn', 'Sukukaja']
INFO:root:['Charmdi', 'Sukukaja', 'Patra', 'Salvation']
INFO:root:['Counter', 'Mind Charge', 'Garu', 'Patra']
INFO:root:['Patra', 'Charmdi', 'Tetrakarn', 'Salvation']
INFO:root:['Sukukaja', 'Patra', 'Garu', 'Tarukaja']
INFO:root:['Patra', 'Tarukaja', 'Counter', 'Garu']
INFO:root:['Sukukaja', 'Patra', 'Tarukaja', 'Charmdi']
INFO:root:['Patra', 'Charmdi', 'Wind Amp', 'Tarukaja']
