INFO:root:['Null Dark', 'Patra', 'Recarm', 'Sukukaja']
INFO:root:['Wind Amp', 'Patra', 'Samsara', 'Recarm']
INFO:root:['Sukukaja', 'Samsara', 'Growth 3', 'Marakunda']
INFO:root:['Growth 3', 'Wind Amp', 'Patra', 'Samsara']
INFO:root:['Spell Master', 'Growth 3', 'Samsara', 'Unshaken Will']
INFO:root:['Wind Amp', 'Mind Charge', 'Spell Master', 'Samsara']
INFO:root:['Null Dark', 'Tarukaja', 'Mind Charge', 'Wind Amp']
INFO:root:['Growth 3', 'Samsara', 'Patra', 'Tarukaja']
INFO:root:['Sukukaja', 'Samsara', 'Spell Master', 'Growth 3']
INFO:root:['Spell Master', 'Null Dark', 'Wind Amp', 'Growth 3']
INFO:root:['Samsara', 'Mind Charge', 'Null Dark', 'Unshaken Will']
INFO:root:['Growth 3', 'Unshaken Will', 'Null Dark', 'Sukukaja']
INFO:root:['Wind Amp', 'Tarukaja', 'Samsara', 'Null Dark']
INFO:root:['Growth 3', 'Wind Amp', 'Null Dark', 'Tarukaja']
INFO:root:['Null Dark', 'Diarahan', 'Marakunda', 'Wind Amp']
INFO:root:['Samsara', 'Null Dark', 'Unshaken Will', 'Spell Master']
INFO:root:['Growth 3', 'Mind Charge', 'Patra', 'Wind Amp']
INFO:root:['Diarahan', 'Samsara', 'Null Dark', 'Wind Amp']
INFO:root:['Marakunda', 'Growth 3', 'Wind Amp', 'Samsara']
INFO:root:['Patra', 'Null Dark', 'Tarukaja', 'Samsara']
INFO:root:['Samsara', 'Wind Amp', 'Spell Master', 'Growth 3']
INFO:root:['Spell Master', 'Growth 3', 'Wind Amp', 'Tarukaja']
INFO:root:['Samsara', 'Sukukaja', 'Patra', 'Null Dark']
INFO:root:['Samsara', 'Wind Amp', 'Tarukaja', 'Growth 3']
INFO:root:['Tarukaja', 'Wind Amp', 'Marakunda', 'Null Dark']
INFO:root:['Wind Amp', 'Spell Master', 'Megidolaon', 'Growth 3']
INFO:root:['Patra', 'Spell Master', 'Wind Amp', 'Recarm']
INFO:root:['Unshaken Will', 'Wind Amp', 'Mind Charge', 'Growth 3']
INFO:root:['Wind Amp', 'Null Dark', 'Patra', 'Spell Master']
INFO:root:['Unshaken Will', 'Samsara', 'Recarm', 'Patra']
INFO:root:['Mind Charge', 'Growth 3', 'Patra', 'Samsara']
INFO:root:['Marakunda', 'Megidolaon', 'Mind Charge', 'Patra']
INFO:root:['Growth 3', 'Samsara', 'Null Dark', 'Spell Master']
INFO:root:['Samsara', 'Wind Amp', 'Mind Charge', 'Null Dark']
INFO:root:['Sukukaja', 'Patra', 'Growth 3', 'Wind Amp']
INFO:root:['Growth 3', 'Samsara', 'Tarukaja', 'Wind Amp']
INFO:root:['Null Dark', 'Samsara', 'Sukukaja', 'Spell Master']
INFO:root:['Tarukaja', 'Unshaken Will', 'Growth 3', 'Wind Amp']
INFO:root:['Patra', 'Tarukaja', 'Samsara', 'Wind Amp']
INFO:root:['Tarukaja', 'Samsara', 'Patra', 'Null Dark']
INFO:root:['Null Dark', 'Sukukaja', 'Marakunda', 'Patra']
INFO:root:['Null Dark', 'Wind Amp', 'Mind Charge', 'Growth 3']
INFO:root:['Growth 3', 'Spell Master', 'Megidolaon', 'Sukukaja']
INFO:root:['Sukukaja', 'Patra', 'Wind Amp', 'Marakunda']
INFO:root:['Unshaken Will', 'Samsara', 'Wind Amp', 'Diarahan']
INFO:root:['Growth 3', 'Samsara', 'Wind Amp', 'Sukukaja']
INFO:root:['Wind Amp', 'Samsara', 'Spell Master', 'Unshaken Will']
INFO:root:['Samsara', 'Diarahan', 'Spell Master', 'Patra']
INFO:root:['Growth 3', 'Samsara', 'Spell Master', 'Wind Amp']
INFO:root:['Samsara', 'Growth 3', 'Null Dark', 'Patra']
INFO:root:['Tarukaja', 'Sukukaja', 'Marakunda', 'Patra']
INFO:root:['Recarm', 'Patra', 'Samsara', 'Spell Master']
INFO:root:['Tarukaja', 'Growth 3', 'Samsara', 'Tetrakarn']
INFO:root:['Patra', 'Growth 3', 'Marakunda', 'Wind Amp']
INFO:root:['Null Dark', 'Patra', 'Tarukaja', 'Marakunda']
INFO:root:['Tarukaja', 'Samsara', 'Wind Amp', 'Growth 3']
INFO:root:['Samsara', 'Null Dark', 'Growth 3', 'Spell Master']
INFO:root:['Null Dark', 'Growth 3', 'Mind Charge', 'Wind Amp']
INFO:root:['Null Dark', 'Samsara', 'Wind Amp', 'Unshaken Will']
INFO:root:['Samsara', 'Growth 3', 'Sukukaja', 'Tarukaja']
INFO:root:['Patra', 'Tetrakarn', 'Marakunda', 'Samsara']
INFO:root:['Null Dark', 'Spell Master', 'Samsara', 'Mind Charge']
INFO:root:['Unshaken Will', 'Wind Amp', 'Diarahan', 'Growth 3']
INFO:root:['Null Dark', 'Samsara', 'Patra', 'Sukukaja']
INFO:root:['Wind Amp', 'Growth 3', 'Patra', 'Spell Master']
INFO:root:['Null Dark', 'Recarm', 'Patra', 'Mind Charge']
INFO:root:['Recarm', 'Growth 3', 'Tarukaja', 'Wind Amp']
INFO:root:['Growth 3', 'Wind Amp', 'Patra', 'Samsara']
INFO:root:['Wind Amp', 'Samsara', 'Growth 3', 'Tarukaja']
INFO:root:['Tetrakarn', 'Samsara', 'Spell Master', 'Patra']
INFO:root:['Sukukaja', 'Patra', 'Recarm', 'Null Dark']
INFO:root:['Null Dark', 'Growth 3', 'Marakunda', 'Mind Charge']
INFO:root:['Patra', 'Spell Master', 'Growth 3', 'Tarukaja']
INFO:root:['Samsara', 'Growth 3', 'Unshaken Will', 'Spell Master']
INFO:root:['Samsara', 'Tetrakarn', 'Diarahan', 'Patra']
INFO:root:['Wind Amp', 'Samsara', 'Patra', 'Null Dark']
INFO:root:['Samsara', 'Marakunda', 'Spell Master', 'Sukukaja']
INFO:root:['Growth 3', 'Null Dark', 'Wind Amp', 'Samsara']
INFO:root:['Samsara', 'Diarahan', 'Wind Amp', 'Tarukaja']
INFO:root:['Marakunda', 'Null Dark', 'Samsara', 'Growth 3']
INFO:root:['Growth 3', 'Samsara', 'Megidolaon', 'Wind Amp']
INFO:root:['Recarm', 'Marakunda', 'Growth 3', 'Diarahan']
INFO:root:['Recarm', 'Samsara', 'Unshaken Will', 'Wind Amp']
INFO:root:['Samsara', 'Null Dark', 'Wind Amp', 'Patra']
INFO:root:['Samsara', 'Null Dark', 'Tarukaja', 'Growth 3']
INFO:root:['Wind Amp', 'Unshaken Will', 'Growth 3', 'Samsara']
INFO:root:['Growth 3', 'Recarm', 'Spell Master', 'Wind Amp']
INFO:root:['Growth 3', 'Unshaken Will', 'Marakunda', 'Wind Amp']
INFO:root:['Patra', 'Spell Master', 'Marakunda', 'Wind Amp']
INFO:root:['Diarahan', 'Tarukaja', 'Growth 3', 'Samsara']
INFO:root:['Marakunda', 'Growth 3', 'Samsara', 'Patra']
INFO:root:['Null Dark', 'Growth 3', 'Samsara', 'Wind Amp']
INFO:root:['Samsara', 'Patra', 'Tetrakarn', 'Spell Master']
INFO:root:['Unshaken Will', 'Sukukaja', 'Null Dark', 'Patra']
INFO:root:['Spell Master', 'Wind Amp', 'Samsara', 'Sukukaja']
INFO:root:['Samsara', 'Marakunda', 'Tarukaja', 'Patra']
INFO:root:['Wind Amp', 'Spell Master', 'Marakunda', 'Patra']
INFO:root:['Null Dark', 'Recarm', 'Samsara', 'Wind Amp']
INFO:root:['Null Dark', 'Tarukaja', 'Sukukaja', 'Spell Master']
INFO:root:['Wind Amp', 'Recarm', 'Sukukaja', 'Patra']
INFO:root:['Diarahan', 'Growth 3', 'Samsara', 'Wind Amp']
INFO:root:['Wind Amp', 'Samsara', 'Unshaken Will', 'Null Dark']
INFO:root:['Wind Amp', 'Samsara', 'Tarukaja', 'Unshaken Will']
INFO:root:['Mind Charge', 'Null Dark', 'Samsara', 'Growth 3']
INFO:root:['Null Dark', 'Samsara', 'Wind Amp', 'Spell Master']
INFO:root:['Samsara', 'Mind Charge', 'Null Dark', 'Tarukaja']
INFO:root:['Patra', 'Null Dark', 'Samsara', 'Unshaken Will']
INFO:root:['Null Dark', 'Wind Amp', 'Samsara', 'Growth 3']
INFO:root:['Samsara', 'Tarukaja', 'Wind Amp', 'Null Dark']
INFO:root:['Recarm', 'Unshaken Will', 'Tarukaja', 'Growth 3']
INFO:root:['Null Dark', 'Samsara', 'Growth 3', 'Tarukaja']
INFO:root:['Patra', 'Wind Amp', 'Samsara', 'Megidolaon']
INFO:root:['Samsara', 'Spell Master', 'Tarukaja', 'Unshaken Will']
INFO:root:['Wind Amp', 'Null Dark', 'Samsara', 'Patra']
INFO:root:['Wind Amp', 'Patra', 'Samsara', 'Unshaken Will']
INFO:root:['Unshaken Will', 'Sukukaja', 'Megidolaon', 'Null Dark']
INFO:root:['Samsara', 'Sukukaja', 'Patra', 'Tetrakarn']
INFO:root:['Growth 3', 'Samsara', 'Wind Amp', 'Patra']
INFO:root:['Tarukaja', 'Samsara', 'Mind Charge', 'Null Dark']
INFO:root:['Null Dark', 'Wind Amp', 'Growth 3', 'Tarukaja']
INFO:root:['Patra', 'Diarahan', 'Samsara', 'Unshaken Will']
INFO:root:['Null Dark', 'Wind Amp', 'Tarukaja', 'Samsara']
INFO:root:['Wind Amp', 'Patra', 'Recarm', 'Growth 3']
INFO:root:['Wind Amp', 'Growth 3', 'Null Dark', 'Tetrakarn']
INFO:root:['Null Dark', 'Patra', 'Tarukaja', 'Samsara']
INFO:root:['Samsara', 'Spell Master', 'Marakunda', 'Diarahan']
INFO:root:['Growth 3', 'Wind Amp', 'Null Dark', 'Samsara']
INFO:root:['Patra', 'Null Dark', 'Wind Amp', 'Growth 3']
INFO:root:['Growth 3', 'Samsara', 'Wind Amp', 'Spell Master']
INFO:root:['Null Dark', 'Growth 3', 'Samsara', 'Unshaken Will']
INFO:root:['Samsara', 'Spell Master', 'Wind Amp', 'Growth 3']
INFO:root:['Marakunda', 'Growth 3', 'Wind Amp', 'Unshaken Will']
INFO:root:['Patra', 'Null Dark', 'Tarukaja', 'Samsara']
INFO:root:['Growth 3', 'Recarm', 'Samsara', 'Wind Amp']
INFO:root:['Sukukaja', 'Mind Charge', 'Samsara', 'Patra']
INFO:root:['Samsara', 'Growth 3', 'Spell Master', 'Diarahan']
INFO:root:['Growth 3', 'Spell Master', 'Sukukaja', 'Patra']
INFO:root:['Sukukaja', 'Mind Charge', 'Diarahan', 'Growth 3']
INFO:root:['Growth 3', 'Patra', 'Spell Master', 'Null Dark']
INFO:root:['Wind Amp', 'Samsara', 'Patra', 'Unshaken Will']
INFO:root:['Null Dark', 'Samsara', 'Unshaken Will', 'Wind Amp']
INFO:root:['Spell Master', 'Diarahan', 'Samsara', 'Wind Amp']
INFO:root:['Null Dark', 'Samsara', 'Tetrakarn', 'Growth 3']
INFO:root:['Unshaken Will', 'Wind Amp', 'Patra', 'Growth 3']
INFO:root:['Null Dark', 'Samsara', 'Spell Master', 'Tetrakarn']
INFO:root:['Null Dark', 'Wind Amp', 'Spell Master', 'Patra']
INFO:root:['Patra', 'Wind Amp', 'Samsara', 'Growth 3']
INFO:root:['Samsara', 'Spell Master', 'Null Dark', 'Growth 3']
INFO:root:['Samsara', 'Wind Amp', 'Marakunda', 'Growth 3']
INFO:root:['Growth 3', 'Wind Amp', 'Samsara', 'Patra']
INFO:root:['Tarukaja', 'Null Dark', 'Patra', 'Unshaken Will']
INFO:root:['Null Dark', 'Unshaken Will', 'Samsara', 'Patra']
INFO:root:['Spell Master', 'Samsara', 'Growth 3', 'Null Dark']
INFO:root:['Growth 3', 'Unshaken Will', 'Wind Amp', 'Sukukaja']
INFO:root:['Null Dark', 'Wind Amp', 'Patra', 'Samsara']
INFO:root:['Samsara', 'Patra', 'Unshaken Will', 'Recarm']
INFO:root:['Unshaken Will', 'Null Dark', 'Wind Amp', 'Growth 3']
INFO:root:['Samsara', 'Growth 3', 'Patra', 'Unshaken Will']
INFO:root:['Samsara', 'Patra', 'Wind Amp', 'Spell Master']
INFO:root:['Samsara', 'Growth 3', 'Tetrakarn', 'Unshaken Will']
INFO:root:['Marakunda', 'Samsara', 'Sukukaja', 'Null Dark']
INFO:root:['Tarukaja', 'Samsara', 'Recarm', 'Spell Master']
INFO:root:['Patra', 'Tarukaja', 'Diarahan', 'Wind Amp']
INFO:root:['Growth 3', 'Samsara', 'Patra', 'Unshaken Will']
INFO:root:['Patra', 'Samsara', 'Spell Master', 'Tarukaja']
INFO:root:['Unshaken Will', 'Wind Amp', 'Samsara', 'Diarahan']
INFO:root:['Null Dark', 'Unshaken Will', 'Wind Amp', 'Growth 3']
INFO:root:['Patra', 'Sukukaja', 'Marakunda', 'Samsara']
INFO:root:['Samsara', 'Sukukaja', 'Growth 3', 'Unshaken Will']
INFO:root:['Null Dark', 'Wind Amp', 'Diarahan', 'Samsara']
INFO:root:['Growth 3', 'Samsara', 'Mind Charge', 'Recarm']
INFO:root:['Wind Amp', 'Samsara', 'Null Dark', 'Growth 3']
INFO:root:['Patra', 'Wind Amp', 'Growth 3', 'Megidolaon']
INFO:root:['Tarukaja', 'Growth 3', 'Recarm', 'Samsara']
INFO:root:['Growth 3', 'Wind Amp', 'Patra', 'Recarm']
INFO:root:['Sukukaja', 'Patra', 'Samsara', 'Wind Amp']
INFO:root:['Patra', 'Samsara', 'Spell Master', 'Wind Amp']
INFO:root:['Growth 3', 'Unshaken Will', 'Spell Master', 'Diarahan']
INFO:root:['Patra', 'Sukukaja', 'Spell Master', 'Growth 3']
INFO:root:['Marakunda', 'Megidolaon', 'Sukukaja', 'Samsara']
INFO:root:['Tetrakarn', 'Patra', 'Samsara', 'Wind Amp']
INFO:root:['Growth 3', 'Unshaken Will', 'Tarukaja', 'Null Dark']
INFO:root:['Samsara', 'Tarukaja', 'Marakunda', 'Sukukaja']
INFO:root:['Samsara', 'Spell Master', 'Growth 3', 'Wind Amp']
INFO:root:['Samsara', 'Patra', 'Recarm', 'Null Dark']
INFO:root:['Null Dark', 'Samsara', 'Sukukaja', 'Patra']
INFO:root:['Growth 3', 'Null Dark', 'Recarm', 'Unshaken Will']
INFO:root:['Mind Charge', 'Samsara', 'Null Dark', 'Tetrakarn']
INFO:root:['Patra', 'Spell Master', 'Null Dark', 'Sukukaja']
INFO:root:['Spell Master', 'Patra', 'Sukukaja', 'Null Dark']
INFO:root:['Null Dark', 'Patra', 'Tarukaja', 'Diarahan']
INFO:root:['Samsara', 'Patra', 'Unshaken Will', 'Wind Amp']
INFO:root:['Spell Master', 'Samsara', 'Null Dark', 'Marakunda']
INFO:root:['Samsara', 'Patra', 'Tarukaja', 'Wind Amp']
INFO:root:['Unshaken Will', 'Samsara', 'Wind Amp', 'Recarm']
INFO:root:['Patra', 'Tarukaja', 'Growth 3', 'Samsara']
INFO:root:['Null Dark', 'Samsara', 'Patra', 'Sukukaja']
INFO:root:['Diarahan', 'Sukukaja', 'Growth 3', 'Samsara']
INFO:root:['Recarm', 'Null Dark', 'Diarahan', 'Samsara']
INFO:root:['Samsara', 'Growth 3', 'Tarukaja', 'Mind Charge']
INFO:root:['Null Dark', 'Unshaken Will', 'Wind Amp', 'Samsara']
INFO:root:['Growth 3', 'Tarukaja', 'Samsara', 'Patra']
INFO:root:['Unshaken Will', 'Samsara', 'Tarukaja', 'Growth 3']
INFO:root:['Unshaken Will', 'Wind Amp', 'Tetrakarn', 'Samsara']
INFO:root:['Marakunda', 'Megidolaon', 'Wind Amp', 'Growth 3']
INFO:root:['Tarukaja', 'Samsara', 'Patra', 'Wind Amp']
INFO:root:['Tarukaja', 'Marakunda', 'Samsara', 'Spell Master']
INFO:root:['Null Dark', 'Patra', 'Growth 3', 'Samsara']
INFO:root:['Tetrakarn', 'Samsara', 'Wind Amp', 'Diarahan']
INFO:root:['Tarukaja', 'Null Dark', 'Growth 3', 'Patra']
INFO:root:['Null Dark', 'Wind Amp', 'Marakunda', 'Spell Master']
INFO:root:['Megidolaon', 'Null Dark', 'Growth 3', 'Recarm']
INFO:root:['Null Dark', 'Samsara', 'Growth 3', 'Wind Amp']
INFO:root:['Growth 3', 'Patra', 'Wind Amp', 'Spell Master']
INFO:root:['Growth 3', 'Wind Amp', 'Patra', 'Spell Master']
INFO:root:['Spell Master', 'Null Dark', 'Samsara', 'Tarukaja']
INFO:root:['Wind Amp', 'Patra', 'Null Dark', 'Growth 3']
INFO:root:['Recarm', 'Sukukaja', 'Spell Master', 'Marakunda']
INFO:root:['Unshaken Will', 'Growth 3', 'Null Dark', 'Wind Amp']
INFO:root:['Mind Charge', 'Samsara', 'Wind Amp', 'Growth 3']
INFO:root:['Tarukaja', 'Patra', 'Growth 3', 'Samsara']
INFO:root:['Samsara', 'Growth 3', 'Wind Amp', 'Unshaken Will']
INFO:root:['Null Dark', 'Growth 3', 'Spell Master', 'Diarahan']
INFO:root:['Wind Amp', 'Tarukaja', 'Growth 3', 'Patra']
INFO:root:['Recarm', 'Sukukaja', 'Diarahan', 'Mind Charge']
INFO:root:['Megidolaon', 'Growth 3', 'Samsara', 'Null Dark']
INFO:root:['Marakunda', 'Spell Master', 'Samsara', 'Patra']
INFO:root:['Samsara', 'Wind Amp', 'Spell Master', 'Recarm']
INFO:root:['Growth 3', 'Samsara', 'Unshaken Will', 'Null Dark']
INFO:root:['Null Dark', 'Recarm', 'Samsara', 'Tarukaja']
INFO:root:['Samsara', 'Sukukaja', 'Patra', 'Tarukaja']
INFO:root:['Mind Charge', 'Patra', 'Diarahan', 'Samsara']
INFO:root:['Unshaken Will', 'Wind Amp', 'Growth 3', 'Null Dark']
INFO:root:['Wind Amp', 'Samsara', 'Null Dark', 'Growth 3']
INFO:root:['Unshaken Will', 'Wind Amp', 'Samsara', 'Patra']
INFO:root:['Sukukaja', 'Spell Master', 'Samsara', 'Patra']
INFO:root:['Null Dark', 'Growth 3', 'Samsara', 'Wind Amp']
INFO:root:['Samsara', 'Tarukaja', 'Growth 3', 'Sukukaja']
INFO:root:['Tarukaja', 'Recarm', 'Unshaken Will', 'Growth 3']
INFO:root:['Null Dark', 'Wind Amp', 'Marakunda', 'Patra']
INFO:root:['Unshaken Will', 'Growth 3', 'Mind Charge', 'Samsara']
INFO:root:['Samsara', 'Tarukaja', 'Null Dark', 'Sukukaja']
INFO:root:['Null Dark', 'Growth 3', 'Wind Amp', 'Spell Master']
INFO:root:['Sukukaja', 'Null Dark', 'Samsara', 'Wind Amp']
INFO:root:['Unshaken Will', 'Wind Amp', 'Samsara', 'Spell Master']
INFO:root:['Null Dark', 'Tarukaja', 'Samsara', 'Mind Charge']
INFO:root:['Tarukaja', 'Spell Master', 'Mind Charge', 'Megidolaon']
INFO:root:['Megidolaon', 'Samsara', 'Growth 3', 'Tarukaja']
INFO:root:['Patra', 'Null Dark', 'Tarukaja', 'Unshaken Will']
INFO:root:['Growth 3', 'Tarukaja', 'Samsara', 'Wind Amp']
INFO:root:['Samsara', 'Marakunda', 'Patra', 'Tarukaja']
INFO:root:['Patra', 'Wind Amp', 'Growth 3', 'Recarm']
INFO:root:['Samsara', 'Megidolaon', 'Null Dark', 'Wind Amp']
INFO:root:['Samsara', 'Tarukaja', 'Diarahan', 'Patra']
INFO:root:['Mind Charge', 'Null Dark', 'Samsara', 'Unshaken Will']
INFO:root:['Samsara', 'Tarukaja', 'Sukukaja', 'Growth 3']
INFO:root:['Patra', 'Samsara', 'Spell Master', 'Wind Amp']
INFO:root:['Samsara', 'Unshaken Will', 'Megidolaon', 'Mind Charge']
INFO:root:['Samsara', 'Unshaken Will', 'Growth 3', 'Null Dark']
INFO:root:['Null Dark', 'Wind Amp', 'Patra', 'Sukukaja']
INFO:root:['Null Dark', 'Samsara', 'Sukukaja', 'Tarukaja']
INFO:root:['Null Dark', 'Recarm', 'Samsara', 'Tarukaja']
INFO:root:['Samsara', 'Wind Amp', 'Unshaken Will', 'Megidolaon']
INFO:root:['Samsara', 'Patra', 'Tarukaja', 'Recarm']
INFO:root:['Wind Amp', 'Spell Master', 'Null Dark', 'Mind Charge']
INFO:root:['Samsara', 'Growth 3', 'Tarukaja', 'Tetrakarn']
INFO:root:['Mind Charge', 'Samsara', 'Diarahan', 'Growth 3']
INFO:root:['Tarukaja', 'Null Dark', 'Patra', 'Growth 3']
INFO:root:['Samsara', 'Patra', 'Growth 3', 'Spell Master']
INFO:root:['Samsara', 'Tarukaja', 'Sukukaja', 'Wind Amp']
INFO:root:['Patra', 'Growth 3', 'Samsara', 'Tetrakarn']
INFO:root:['Samsara', 'Sukukaja', 'Spell Master', 'Growth 3']
INFO:root:['Unshaken Will', 'Sukukaja', 'Samsara', 'Null Dark']
INFO:root:['Spell Master', 'Samsara', 'Tarukaja', 'Diarahan']
INFO:root:['Samsara', 'Tetrakarn', 'Growth 3', 'Null Dark']
INFO:root:['Null Dark', 'Megidolaon', 'Patra', 'Sukukaja']
INFO:root:['Samsara', 'Null Dark', 'Growth 3', 'Sukukaja']
INFO:root:['Unshaken Will', 'Wind Amp', 'Null Dark', 'Megidolaon']
INFO:root:['Wind Amp', 'Samsara', 'Spell Master', 'Patra']
INFO:root:['Samsara', 'Growth 3', 'Wind Amp', 'Null Dark']
INFO:root:['Samsara', 'Sukukaja', 'Mind Charge', 'Growth 3']
INFO:root:['Samsara', 'Recarm', 'Megidolaon', 'Null Dark']
INFO:root:['Patra', 'Wind Amp', 'Growth 3', 'Null Dark']
INFO:root:['Samsara', 'Spell Master', 'Patra', 'Tarukaja']
INFO:root:['Recarm', 'Samsara', 'Patra', 'Wind Amp']
INFO:root:['Sukukaja', 'Tarukaja', 'Samsara', 'Growth 3']
INFO:root:['Tarukaja', 'Samsara', 'Patra', 'Unshaken Will']
INFO:root:['Unshaken Will', 'Growth 3', 'Samsara', 'Null Dark']
INFO:root:['Growth 3', 'Wind Amp', 'Sukukaja', 'Samsara']
INFO:root:['Samsara', 'Growth 3', 'Megidolaon', 'Tarukaja']
INFO:root:['Wind Amp', 'Tarukaja', 'Spell Master', 'Samsara']
INFO:root:['Growth 3', 'Unshaken Will', 'Samsara', 'Null Dark']
INFO:root:['Samsara', 'Null Dark', 'Spell Master', 'Unshaken Will']
INFO:root:['Samsara', 'Null Dark', 'Spell Master', 'Sukukaja']
INFO:root:['Growth 3', 'Null Dark', 'Sukukaja', 'Wind Amp']
INFO:root:['Tarukaja', 'Growth 3', 'Marakunda', 'Patra']
INFO:root:['Samsara', 'Null Dark', 'Tarukaja', 'Growth 3']
