INFO:root:['Wind Amp', 'High Counter', 'Power Slash', 'Mind Charge', 'Dodge Ice']
INFO:root:['Mudoon', 'Primal Force', 'Dodge Slash', 'Mind Charge', 'Wind Amp']
INFO:root:['Power Slash', 'Rakukaja', 'Counter', 'Mind Charge', 'Spell Master']
INFO:root:['Mind Charge', 'Power Slash', 'Dodge Ice', 'Counter', 'High Counter']
INFO:root:['Counter', 'Rakukaja', 'Salvation', 'High Counter', 'Dodge Ice']
INFO:root:['Mighty Swing', 'Rakukaja', 'Counter', 'Dodge Slash', 'Power Slash']
INFO:root:['Dodge Slash', 'Counter', 'Absorb Slash', 'Mudoon', 'Dodge Ice']
INFO:root:['Wind Amp', 'Victory Cry', 'Rakukaja', 'Dodge Slash', 'Spell Master']
INFO:root:['Dodge Ice', 'Mudoon', 'Mighty Swing', 'Getsu-ei', 'Rakukaja']
INFO:root:['Mind Charge', 'Counter', 'Salvation', 'Mudoon', 'Rakukaja']
INFO:root:['Victory Cry', 'Rakukaja', 'Life Drain', 'Power Slash', 'Mind Charge']
INFO:root:['Dodge Ice', 'Counter', 'Wind Amp', 'Dodge Slash', 'High Counter']
INFO:root:['Salvation', 'Wind Amp', 'Survive Light', 'Rakukaja', 'Counter']
INFO:root:['Mudoon', 'Counter', 'Mind Charge', 'Victory Cry', 'Zan-ei']
INFO:root:['Primal Force', 'Rakukaja', 'Dodge Ice', 'Survive Light', 'Zan-ei']
INFO:root:['High Counter', 'Dodge Ice', 'Salvation', 'Rakukaja', 'Zan-ei']
INFO:root:['Spell Master', 'Absorb Slash', 'High Counter', 'Dodge Ice', 'Counter']
INFO:root:['Mind Charge', 'Dodge Slash', 'Getsu-ei', 'Rakukaja', 'Primal Force']
INFO:root:['Absorb Slash', 'Dodge Slash', 'Zan-ei', 'High Counter', 'Dodge Ice']
INFO:root:['Getsu-ei', 'Power Slash', 'Counter', 'Dodge Slash', 'Zan-ei']
INFO:root:['Rakukaja', 'Dodge Slash', 'High Counter', 'Counter', 'Mudoon']
INFO:root:['Mind Charge', 'Power Slash', 'High Counter', 'Life Drain', 'Dodge Ice']
INFO:root:['Dodge Slash', 'Survive Light', 'Mind Charge', 'Counter', 'High Counter']
INFO:root:['Rakukaja', 'Counter', 'Dodge Slash', 'Power Slash', 'Mudoon']
INFO:root:['Spell Master', 'Rakukaja', 'Counter', 'Dodge Slash', 'High Counter']
INFO:root:['Dodge Slash', 'Wind Amp', 'Mind Charge', 'Rakukaja', 'Survive Light']
INFO:root:['Victory Cry', 'Rakukaja', 'Dodge Ice', 'Wind Amp', 'Absorb Slash']
INFO:root:['Dodge Ice', 'Absorb Slash', 'Rakukaja', 'Wind Amp', 'Dodge Slash']
INFO:root:['Survive Light', 'Counter', 'Dodge Slash', 'Wind Amp', 'Rakukaja']
INFO:root:['Rakukaja', 'Victory Cry', 'Mudoon', 'Survive Light', 'Dodge Slash']
INFO:root:['Rakukaja', 'Counter', 'Getsu-ei', 'Mudoon', 'Spell Master']
INFO:root:['High Counter', 'Wind Amp', 'Dodge Slash', 'Salvation', 'Mudoon']
INFO:root:['Dodge Ice', 'Wind Amp', 'Mudoon', 'Mighty Swing', 'Victory Cry']
INFO:root:['Zan-ei', 'Wind Amp', 'Dodge Ice', 'High Counter', 'Survive Light']
INFO:root:['Survive Light', 'Victory Cry', 'Spell Master', 'High Counter', 'Dodge Slash']
INFO:root:['Zan-ei', 'Salvation', 'Mind Charge', 'Survive Light', 'Mudoon']
INFO:root:['Rakukaja', 'Dodge Slash', 'Victory Cry', 'Counter', 'Mighty Swing']
INFO:root:['Power Slash', 'Mudoon', 'Absorb Slash', 'Dodge Slash', 'Dodge Ice']
INFO:root:['Absorb Slash', 'Survive Light', 'Wind Amp', 'Salvation', 'Mudoon']
INFO:root:['Getsu-ei', 'Mind Charge', 'Wind Amp', 'Rakukaja', 'Victory Cry']
INFO:root:['Dodge Slash', 'Spell Master', 'High Counter', 'Counter', 'Mind Charge']
INFO:root:['Mind Charge', 'Dodge Slash', 'Power Slash', 'Dodge Ice', 'Mighty Swing']
INFO:root:['Rakukaja', 'Mudoon', 'Victory Cry', 'Dodge Slash', 'Counter']
INFO:root:['Rakukaja', 'Dodge Slash', 'Mudoon', 'Absorb Slash', 'Dodge Ice']
INFO:root:['Survive Light', 'Life Drain', 'Counter', 'Dodge Ice', 'Dodge Slash']
INFO:root:['Zan-ei', 'Mudoon', 'Dodge Ice', 'Dodge Slash', 'Mind Charge']
INFO:root:['Survive Light', 'Wind Amp', 'Rakukaja', 'High Counter', 'Spell Master']
INFO:root:['Wind Amp', 'Salvation', 'Counter', 'Dodge Slash', 'Power Slash']
INFO:root:['Rakukaja', 'Survive Light', 'Dodge Ice', 'Life Drain', 'Victory Cry']
INFO:root:['Dodge Ice', 'Counter', 'Rakukaja', 'Dodge Slash', 'Mudoon']
INFO:root:['Survive Light', 'Mind Charge', 'Victory Cry', 'High Counter', 'Mudoon']
INFO:root:['Wind Amp', 'Victory Cry', 'Salvation', 'Rakukaja', 'Counter']
INFO:root:['Dodge Ice', 'Wind Amp', 'High Counter', 'Dodge Slash', 'Rakukaja']
INFO:root:['Rakukaja', 'Counter', 'Mind Charge', 'Salvation', 'High Counter']
INFO:root:['Victory Cry', 'Salvation', 'Counter', 'Mudoon', 'Dodge Slash']
INFO:root:['Rakukaja', 'Dodge Slash', 'Victory Cry', 'Mudoon', 'Counter']
INFO:root:['Mighty Swing', 'Getsu-ei', 'Dodge Slash', 'Dodge Ice', 'Rakukaja']
INFO:root:['Mudoon', 'Survive Light', 'Zan-ei', 'Dodge Ice', 'Mighty Swing']
INFO:root:['Mind Charge', 'Dodge Slash', 'Dodge Ice', 'Spell Master', 'Rakukaja']
INFO:root:['Mind Charge', 'Counter', 'Dodge Slash', 'Rakukaja', 'Mudoon']
INFO:root:['Mind Charge', 'Morning Star', 'Rakukaja', 'Dodge Slash', 'Counter']
INFO:root:['Mudoon', 'Mind Charge', 'Counter', 'High Counter', 'Dodge Ice']
INFO:root:['Dodge Slash', 'Mighty Swing', 'Dodge Ice', 'Victory Cry', 'Survive Light']
INFO:root:['Wind Amp', 'Mudoon', 'Dodge Slash', 'Counter', 'Victory Cry']
INFO:root:['Getsu-ei', 'Rakukaja', 'Victory Cry', 'Power Slash', 'High Counter']
INFO:root:['Counter', 'Dodge Slash', 'Rakukaja', 'High Counter', 'Mind Charge']
INFO:root:['Counter', 'Getsu-ei', 'Rakukaja', 'Dodge Ice', 'Zan-ei']
INFO:root:['Survive Light', 'High Counter', 'Rakukaja', 'Dodge Slash', 'Dodge Ice']
INFO:root:['Rakukaja', 'Mudoon', 'Mind Charge', 'High Counter', 'Counter']
INFO:root:['Survive Light', 'Rakukaja', 'High Counter', 'Life Drain', 'Dodge Slash']
INFO:root:['Counter', 'Mind Charge', 'Rakukaja', 'Dodge Ice', 'Getsu-ei']
INFO:root:['Life Drain', 'Dodge Ice', 'Mind Charge', 'Dodge Slash', 'Rakukaja']
INFO:root:['Mind Charge', 'Survive Light', 'Rakukaja', 'High Counter', 'Power Slash']
INFO:root:['Rakukaja', 'Spell Master', 'Dodge Slash', 'Counter', 'Wind Amp']
INFO:root:['Dodge Ice', 'Rakukaja', 'Salvation', 'Wind Amp', 'Counter']
INFO:root:['Getsu-ei', 'Mudoon', 'Primal Force', 'Mind Charge', 'Dodge Ice']
INFO:root:['Life Drain', 'Power Slash', 'Zan-ei', 'Rakukaja', 'Dodge Ice']
INFO:root:['Mind Charge', 'Counter', 'Life Drain', 'Dodge Slash', 'Getsu-ei']
INFO:root:['Dodge Ice', 'Wind Amp', 'Absorb Slash', 'Spell Master', 'Survive Light']
INFO:root:['Dodge Slash', 'Rakukaja', 'Counter', 'Salvation', 'Wind Amp']
INFO:root:['Power Slash', 'Wind Amp', 'Getsu-ei', 'Mind Charge', 'Survive Light']
INFO:root:['Survive Light', 'Dodge Slash', 'Dodge Ice', 'Spell Master', 'Rakukaja']
INFO:root:['Victory Cry', 'Counter', 'Mighty Swing', 'Mudoon', 'Power Slash']
INFO:root:['Zan-ei', 'High Counter', 'Rakukaja', 'Wind Amp', 'Dodge Slash']
INFO:root:['Dodge Slash', 'Life Drain', 'High Counter', 'Counter', 'Mind Charge']
INFO:root:['Counter', 'Spell Master', 'Dodge Ice', 'Mudoon', 'Wind Amp']
INFO:root:['Counter', 'Dodge Ice', 'Zan-ei', 'Rakukaja', 'Victory Cry']
INFO:root:['Dodge Ice', 'Mind Charge', 'Mudoon', 'Victory Cry', 'Absorb Slash']
INFO:root:['Dodge Slash', 'Mudoon', 'Getsu-ei', 'High Counter', 'Life Drain']
INFO:root:['Survive Light', 'Rakukaja', 'Counter', 'Absorb Slash', 'Dodge Ice']
INFO:root:['Power Slash', 'Rakukaja', 'Wind Amp', 'Survive Light', 'Dodge Slash']
INFO:root:['Victory Cry', 'Mind Charge', 'Rakukaja', 'Wind Amp', 'Power Slash']
INFO:root:['High Counter', 'Salvation', 'Wind Amp', 'Mudoon', 'Dodge Slash']
INFO:root:['Mind Charge', 'Power Slash', 'Survive Light', 'Counter', 'Mudoon']
INFO:root:['Mind Charge', 'High Counter', 'Rakukaja', 'Dodge Slash', 'Zan-ei']
INFO:root:['Dodge Ice', 'Victory Cry', 'Wind Amp', 'High Counter', 'Primal Force']
INFO:root:['High Counter', 'Mudoon', 'Rakukaja', 'Victory Cry', 'Counter']
INFO:root:['Dodge Slash', 'Counter', 'Wind Amp', 'Salvation', 'Mudoon']
INFO:root:['Getsu-ei', 'Mind Charge', 'Rakukaja', 'High Counter', 'Mudoon']
INFO:root:['Wind Amp', 'Mudoon', 'Mind Charge', 'Dodge Slash', 'Rakukaja']
INFO:root:['Survive Light', 'Life Drain', 'Dodge Slash', 'Dodge Ice', 'Absorb Slash']
INFO:root:['Dodge Ice', 'Mind Charge', 'Wind Amp', 'Counter', 'Salvation']
INFO:root:['Rakukaja', 'Mind Charge', 'Counter', 'Life Drain', 'Dodge Ice']
INFO:root:['Life Drain', 'Counter', 'Mudoon', 'Rakukaja', 'Victory Cry']
INFO:root:['Survive Light', 'Absorb Slash', 'Wind Amp', 'Getsu-ei', 'Dodge Ice']
INFO:root:['Mudoon', 'Victory Cry', 'Dodge Slash', 'High Counter', 'Mighty Swing']
INFO:root:['Wind Amp', 'Survive Light', 'Rakukaja', 'Dodge Slash', 'High Counter']
INFO:root:['Getsu-ei', 'Mind Charge', 'Mudoon', 'Dodge Ice', 'Rakukaja']
INFO:root:['Absorb Slash', 'Wind Amp', 'High Counter', 'Counter', 'Survive Light']
INFO:root:['Victory Cry', 'Survive Light', 'Dodge Slash', 'Dodge Ice', 'Counter']
INFO:root:['Survive Light', 'Rakukaja', 'Salvation', 'Dodge Ice', 'High Counter']
INFO:root:['Life Drain', 'Salvation', 'Mudoon', 'High Counter', 'Zan-ei']
INFO:root:['Rakukaja', 'Wind Amp', 'Dodge Ice', 'Absorb Slash', 'Survive Light']
INFO:root:['Mudoon', 'Survive Light', 'Victory Cry', 'Dodge Slash', 'Wind Amp']
INFO:root:['Getsu-ei', 'Counter', 'Mudoon', 'Mind Charge', 'Survive Light']
INFO:root:['Dodge Slash', 'Dodge Ice', 'Counter', 'Spell Master', 'High Counter']
INFO:root:['Zan-ei', 'Dodge Slash', 'Salvation', 'Victory Cry', 'Mudoon']
INFO:root:['Dodge Slash', 'Mind Charge', 'High Counter', 'Rakukaja', 'Survive Light']
INFO:root:['Mighty Swing', 'Counter', 'Victory Cry', 'High Counter', 'Rakukaja']
INFO:root:['Absorb Slash', 'Mudoon', 'Rakukaja', 'Mind Charge', 'Salvation']
INFO:root:['High Counter', 'Counter', 'Dodge Slash', 'Rakukaja', 'Spell Master']
INFO:root:['Counter', 'Survive Light', 'High Counter', 'Dodge Slash', 'Dodge Ice']
INFO:root:['Zan-ei', 'Dodge Ice', 'Counter', 'Rakukaja', 'Absorb Slash']
INFO:root:['Wind Amp', 'Counter', 'Dodge Ice', 'Salvation', 'Survive Light']
INFO:root:['Dodge Slash', 'Rakukaja', 'Wind Amp', 'Survive Light', 'Getsu-ei']
INFO:root:['Absorb Slash', 'Survive Light', 'Mudoon', 'High Counter', 'Mind Charge']
INFO:root:['Survive Light', 'Zan-ei', 'Counter', 'Victory Cry', 'Mudoon']
INFO:root:['Absorb Slash', 'Rakukaja', 'Dodge Ice', 'Salvation', 'Getsu-ei']
INFO:root:['Wind Amp', 'Zan-ei', 'Dodge Slash', 'Rakukaja', 'Spell Master']
INFO:root:['Wind Amp', 'Absorb Slash', 'Rakukaja', 'Dodge Slash', 'Survive Light']
INFO:root:['Survive Light', 'Dodge Ice', 'Primal Force', 'Mighty Swing', 'High Counter']
INFO:root:['Rakukaja', 'Mind Charge', 'Zan-ei', 'Dodge Slash', 'Absorb Slash']
INFO:root:['Counter', 'Mudoon', 'Rakukaja', 'High Counter', 'Victory Cry']
INFO:root:['Power Slash', 'Rakukaja', 'Counter', 'Dodge Ice', 'Mudoon']
INFO:root:['Absorb Slash', 'Survive Light', 'Dodge Ice', 'Spell Master', 'High Counter']
INFO:root:['Mind Charge', 'Absorb Slash', 'High Counter', 'Life Drain', 'Salvation']
INFO:root:['Mind Charge', 'Rakukaja', 'Mudoon', 'Dodge Slash', 'High Counter']
INFO:root:['Absorb Slash', 'Rakukaja', 'Getsu-ei', 'Survive Light', 'Mudoon']
INFO:root:['Dodge Slash', 'Rakukaja', 'Wind Amp', 'Counter', 'Absorb Slash']
INFO:root:['Absorb Slash', 'Mudoon', 'Wind Amp', 'Rakukaja', 'Getsu-ei']
INFO:root:['Counter', 'Survive Light', 'Rakukaja', 'Mind Charge', 'Absorb Slash']
INFO:root:['Mind Charge', 'Dodge Ice', 'Life Drain', 'Zan-ei', 'Rakukaja']
INFO:root:['Rakukaja', 'Mind Charge', 'Life Drain', 'Spell Master', 'Survive Light']
INFO:root:['Survive Light', 'Dodge Ice', 'Mudoon', 'Mind Charge', 'Rakukaja']
INFO:root:['High Counter', 'Mind Charge', 'Mudoon', 'Getsu-ei', 'Rakukaja']
INFO:root:['Dodge Slash', 'Mind Charge', 'Counter', 'Power Slash', 'Mighty Swing']
INFO:root:['Wind Amp', 'Dodge Slash', 'Salvation', 'Dodge Ice', 'Survive Light']
INFO:root:['Survive Light', 'Rakukaja', 'Absorb Slash', 'Mudoon', 'Wind Amp']
INFO:root:['High Counter', 'Dodge Ice', 'Survive Light', 'Life Drain', 'Mind Charge']
INFO:root:['Zan-ei', 'Rakukaja', 'Counter', 'Mudoon', 'Mind Charge']
INFO:root:['Spell Master', 'Counter', 'Rakukaja', 'Survive Light', 'Primal Force']
INFO:root:['High Counter', 'Wind Amp', 'Counter', 'Mudoon', 'Spell Master']
INFO:root:['Counter', 'Rakukaja', 'Dodge Slash', 'Mighty Swing', 'Wind Amp']
INFO:root:['Victory Cry', 'Mudoon', 'Survive Light', 'Wind Amp', 'High Counter']
INFO:root:['Rakukaja', 'Spell Master', 'Wind Amp', 'Counter', 'Dodge Slash']
INFO:root:['Dodge Slash', 'Rakukaja', 'Zan-ei', 'Wind Amp', 'Victory Cry']
INFO:root:['Mudoon', 'Survive Light', 'Mind Charge', 'Rakukaja', 'Dodge Slash']
INFO:root:['High Counter', 'Rakukaja', 'Dodge Ice', 'Mudoon', 'Salvation']
INFO:root:['Salvation', 'Survive Light', 'Dodge Ice', 'Counter', 'Zan-ei']
INFO:root:['Dodge Slash', 'Mudoon', 'Rakukaja', 'Counter', 'Victory Cry']
INFO:root:['Spell Master', 'High Counter', 'Rakukaja', 'Counter', 'Getsu-ei']
INFO:root:['Mind Charge', 'Absorb Slash', 'Getsu-ei', 'Dodge Slash', 'Dodge Ice']
INFO:root:['Survive Light', 'Rakukaja', 'Dodge Ice', 'Salvation', 'Mind Charge']
INFO:root:['Dodge Slash', 'Rakukaja', 'Dodge Ice', 'Survive Light', 'Counter']
INFO:root:['Wind Amp', 'Victory Cry', 'High Counter', 'Absorb Slash', 'Counter']
INFO:root:['Getsu-ei', 'Mind Charge', 'High Counter', 'Mighty Swing', 'Rakukaja']
INFO:root:['Survive Light', 'Salvation', 'Dodge Slash', 'Counter', 'Dodge Ice']
INFO:root:['Survive Light', 'Dodge Ice', 'Rakukaja', 'Salvation', 'Victory Cry']
INFO:root:['Getsu-ei', 'Rakukaja', 'Dodge Slash', 'Absorb Slash', 'Dodge Ice']
INFO:root:['Dodge Slash', 'Dodge Ice', 'Survive Light', 'Salvation', 'Victory Cry']
INFO:root:['Counter', 'Rakukaja', 'Zan-ei', 'Mudoon', 'Victory Cry']
INFO:root:['Mind Charge', 'Mighty Swing', 'Counter', 'Survive Light', 'Dodge Ice']
INFO:root:['Wind Amp', 'Survive Light', 'Spell Master', 'Dodge Ice', 'Rakukaja']
INFO:root:['Mudoon', 'Rakukaja', 'Dodge Ice', 'Dodge Slash', 'Salvation']
INFO:root:['Victory Cry', 'Salvation', 'High Counter', 'Survive Light', 'Mind Charge']
INFO:root:['Mudoon', 'Spell Master', 'Zan-ei', 'Mighty Swing', 'Dodge Ice']
INFO:root:['Life Drain', 'Getsu-ei', 'Counter', 'Rakukaja', 'Mind Charge']
INFO:root:['Rakukaja', 'Mudoon', 'Mind Charge', 'Dodge Ice', 'Survive Light']
INFO:root:['Mighty Swing', 'Victory Cry', 'Counter', 'Power Slash', 'Wind Amp']
INFO:root:['Rakukaja', 'Mudoon', 'Power Slash', 'Mighty Swing', 'Wind Amp']
INFO:root:['Mind Charge', 'Dodge Ice', 'Counter', 'Rakukaja', 'Salvation']
INFO:root:['High Counter', 'Survive Light', 'Counter', 'Wind Amp', 'Mind Charge']
INFO:root:['Rakukaja', 'Spell Master', 'High Counter', 'Mighty Swing', 'Life Drain']
INFO:root:['Mudoon', 'High Counter', 'Dodge Ice', 'Survive Light', 'Absorb Slash']
INFO:root:['Dodge Ice', 'Counter', 'Rakukaja', 'Morning Star', 'Wind Amp']
